,30,num_discovered_nodes
0,35477.42226910026,77
1,35678.006241981544,76
2,33732.15013043392,71
3,37536.920929178734,83
4,30103.21394648507,69
5,34303.838834310765,75
6,30950.62447519075,63
7,33123.611014324386,74
8,35909.398290955825,78
9,33362.16860486169,75
10,32801.916774839134,75
11,34177.03961729704,70
12,34105.518164148176,78
13,34001.47878147533,80
14,31795.568424203208,75
15,39114.12684072144,82
16,34408.39013150546,74
17,30590.681687353634,70
18,34433.52068561127,75
19,40102.681052310654,83
20,35294.99261552128,84
21,34448.9072505489,80
22,35039.80093118122,80
23,29994.648478089464,61
24,37158.68094511176,82
25,34250.1610418417,77
26,34937.660844458944,77
27,30745.883776416773,73
28,36185.9767714252,84
29,35450.84970201724,80
0,38210.099380843276,86
1,35581.77588241108,78
2,32859.216560446155,76
3,35535.73033679171,84
4,34129.82194861345,78
5,34600.37988347452,77
6,32209.336538118972,73
7,35269.505298215816,76
8,34226.74339923607,73
9,34108.28709177291,81
10,32897.16215229849,77
11,34983.093098106256,70
12,33495.474717121746,81
13,36462.12841870114,75
14,31807.658571932217,69
15,36493.714591188575,84
16,31083.046665553247,67
17,35105.96616541357,74
18,30298.775989292575,78
19,34664.89396556067,81
20,35322.190948148665,79
21,31526.511801545366,67
22,36871.80100909651,80
23,35028.135847240315,82
24,33428.08636023576,72
25,33303.27491490509,74
26,32269.278844767716,62
27,32928.56583811317,61
28,32908.30232937217,74
29,34040.18314123039,72
0,35519.875512828476,82
1,33728.41115822485,83
2,29098.92989609481,63
3,31960.10833825787,68
4,35675.66032819144,83
5,35040.82246378319,83
6,33980.0143101117,76
7,35459.47416149852,76
8,32044.288553909202,77
9,33711.38449613618,73
10,35244.56798258297,78
11,35290.45106114368,71
12,36967.70831059085,76
13,34385.428948157256,77
14,35011.472194580674,68
15,35082.5581874171,71
16,35196.6215263841,82
17,32966.395142015375,72
18,35391.42698329081,74
19,36881.24446548889,77
20,35522.76013590366,80
21,33081.861095462446,76
22,37244.594157483676,81
23,37033.71417212526,79
24,34329.618501636716,81
25,35991.322965118154,80
26,33054.26347718923,75
27,29426.976961097454,58
28,34752.300658829634,78
29,32844.59903073309,68
0,33146.51581509709,75
1,32973.11500009782,78
2,34590.86047566097,79
3,30399.722453549297,62
4,30806.454560960545,70
5,34038.72814611998,73
6,37199.78350696202,82
7,33905.185656779075,76
8,31382.84259070136,79
9,38198.84221673782,88
10,35511.80978205481,74
11,35429.925975890146,75
12,37406.712671596826,80
13,36128.82797160178,78
14,34263.26819710999,83
15,32725.169410590053,72
16,33413.71093588279,67
17,30625.968254767384,63
18,35677.11660676157,76
19,35863.62746739413,82
20,32722.841958187422,75
21,35403.985509391496,79
22,33560.501495575096,76
23,35899.42491721379,75
24,32993.71379036333,71
25,33395.72644300997,81
26,35875.69978624831,78
27,32943.7145356238,74
28,33028.132565506065,70
29,32780.47999207619,63
