,20,num_discovered_nodes
0,29844.44287502305,29
1,33804.50975525188,36
2,30831.668677460682,32
3,30442.246267105176,32
4,29812.560680984538,30
5,30379.51476148553,29
6,32314.929811337424,30
7,30729.17146466748,31
8,32466.043012337395,29
9,32946.54728311188,33
10,31382.212310434268,34
11,31935.018240431036,34
12,29209.178572966757,31
13,28779.297790938977,28
14,31223.061102670632,29
15,29899.09360613641,26
16,30710.285339957147,31
17,33010.14657423213,33
18,33017.59710915802,36
19,31891.7416001164,31
20,30091.263149237282,33
21,28724.295398436698,32
22,31532.352514188104,28
23,33271.939085209764,39
24,31682.52082072301,41
25,29869.149667113084,26
26,30646.712899322905,33
27,33048.925152679476,36
28,33447.66490164651,34
29,30284.041202166612,28
0,29674.954364579895,28
1,31773.451548974386,35
2,31510.984395574094,33
3,30681.55360280979,31
4,32196.76902490254,33
5,28197.91860595368,29
6,37216.1907290928,40
7,32508.6380221289,36
8,32365.08769902187,37
9,31395.501526486456,30
10,29256.681559213386,29
11,33254.244231424156,37
12,32246.9484495737,34
13,31434.11817681589,32
14,30646.437848463538,34
15,32342.52978829529,35
16,28859.778321856145,31
17,30504.232620039526,31
18,31295.19566775986,31
19,28368.41038287573,26
20,31381.93089924582,35
21,32077.395890377855,34
22,31101.05483121808,31
23,31401.321346137964,31
24,29307.839099899484,30
25,29072.469275537074,34
26,31761.071645518594,32
27,32417.846485273196,34
28,34043.6810395295,40
29,29749.05401110448,31
0,28900.306079723356,25
1,30191.238152390775,33
2,30194.327720486344,25
3,30801.845215600395,30
4,30164.28706187967,30
5,32586.168672021315,35
6,30343.89895734141,29
7,27402.477586121822,23
8,32790.721630438675,35
9,31743.576257094213,34
10,34587.054022529686,35
11,28209.064139554204,29
12,30883.218550165242,30
13,27879.528412283496,26
14,30391.706608039596,33
15,29234.095856459873,31
16,30798.107579716256,35
17,31462.68018267238,28
18,31960.737121212303,30
19,33406.71784567762,38
20,29712.03560995391,29
21,34284.662022401535,37
22,29797.21010495417,30
23,31318.993439272672,31
24,28714.85883545892,31
25,29838.671739758654,28
26,29764.56218773106,25
27,32812.712855486214,31
28,29576.08232512977,35
29,29192.337316771132,33
0,33476.066845610825,36
1,29463.80330335185,29
2,33426.39975985629,33
3,31676.884189900913,36
4,30497.080426334844,33
5,33362.41950863042,32
6,26496.029745700565,25
7,32937.97963851544,33
8,30167.105500544156,29
9,28615.793882388596,26
10,31221.450043299737,33
11,31469.13458395644,32
12,34958.097362852226,40
13,33592.2087661549,37
14,31376.058121577225,31
15,27476.254510216186,23
16,33127.26595318298,33
17,30808.674624141375,29
18,30109.54773302502,28
19,30042.899053708923,32
20,30173.968237208082,27
21,30824.36466767436,30
22,28605.287576362,23
23,33637.49455814042,38
24,31356.723550932897,37
25,34467.36482712632,35
26,33114.33120032089,34
27,29823.71166009733,31
28,29547.945627850975,32
29,30565.56779054199,29
