,distance,num_discovered_nodes
0,50563.36976464298,150
1,46547.401826820016,150
2,49341.24766908132,150
3,48569.22611031895,150
4,58954.84568269676,150
5,52832.516414652426,150
6,55059.61977429127,150
7,54148.75473612396,150
8,52051.42189730388,150
9,49122.557299210064,150
10,50592.356006694965,150
11,50056.21645293841,150
12,48506.63400297295,150
13,50330.95712344649,150
14,49389.85686423912,150
15,51856.25375963464,150
16,52545.29996192836,150
17,54568.78961306323,150
18,50757.316624304214,150
19,52398.068745938166,150
20,49595.223328473025,150
21,49195.79424019547,150
22,53553.55721867314,150
23,48808.22775676319,150
24,52696.11665373052,150
25,50114.40666606419,150
26,51320.425265961094,150
27,52879.52818490102,150
28,51921.421707072564,150
29,52658.586592814085,150
30,51441.60030167016,150
31,53656.12615361238,150
32,50592.79143884493,150
33,51611.12160030715,150
34,51563.683947295496,150
35,49974.59936336315,150
36,55297.46796608143,150
37,49580.163087757566,150
38,47754.102636744276,150
39,50691.588261940895,150
40,51471.23848058781,150
41,49280.231203102994,150
42,47735.97471118946,150
43,48769.145038480456,150
44,53363.7382579065,150
45,52392.803563683985,150
46,48967.7107664589,150
47,50909.21964368057,150
48,49197.06402685971,150
49,48220.099931229226,150
50,56237.33559370171,150
51,54428.19168719884,150
52,50485.97996035508,150
53,48982.24272519025,150
54,51725.42358035223,150
55,53875.46567496997,150
56,49961.32497670614,150
57,53234.19454707322,150
58,55807.82582334965,150
59,51517.27852383803,150
60,49390.48139548592,150
61,49909.30464136115,150
62,49389.82668550379,150
63,53912.914097853434,150
64,51325.68073357074,150
65,50973.30309602594,150
66,51054.45132836862,150
67,54133.6813033406,150
68,53758.05868700324,150
69,47723.22299804536,150
70,47520.86082182591,150
71,53572.996343159386,150
72,49894.39826488992,150
73,53704.24878115292,150
74,48654.599284534714,150
75,55806.02793758551,150
76,46709.10682730975,150
77,47336.45892938942,150
78,47804.36215455061,150
79,47360.27914721369,150
80,52246.83807970237,150
81,56951.62301578455,150
82,50841.10389870906,150
83,52376.78079879672,150
84,49872.032983314326,150
85,56948.72575941934,150
86,49442.77994502551,150
87,50076.62532737863,150
88,50451.83648019665,150
89,52804.60897754133,150
90,47317.29168229115,150
91,47935.925209898414,150
92,51152.20636262119,150
93,45877.572248860684,150
94,51215.10589001013,150
95,52120.09950211473,150
96,49797.66889667468,150
97,48697.15164206028,150
98,53105.15688479325,150
99,50857.78887848419,150
100,48894.29106120423,150
101,48510.1113452678,150
102,51338.63030081877,150
103,48117.49228520798,150
104,50704.62452999351,150
105,48174.65908097547,150
106,53296.780970243235,150
107,57331.616905851304,150
108,49967.26216505332,150
109,51844.96670079614,150
110,50846.08729234149,150
111,48534.99495879554,150
112,52398.111464165646,150
113,51145.46536675479,150
114,50855.32348143951,150
115,50998.98490776401,150
116,51676.07066090958,150
117,48236.01646865307,150
118,50843.70569328811,150
119,53059.36806127656,150
