,10,num_discovered_nodes
0,16491.188760521432,30
1,16723.979630708473,28
2,17346.15714248424,29
3,23535.87376004059,45
4,15659.530977684677,29
5,19018.9525202016,40
6,15978.925222735685,29
7,17826.11091836822,28
8,18234.22304144541,34
9,16585.330096584894,36
10,16660.411097885466,28
11,15345.240646351494,28
12,19447.29163685353,45
13,15197.966525440756,26
14,21515.683453325182,46
15,16115.056080429462,28
16,14285.255580262534,26
17,18668.252750788102,31
18,17880.23365737614,32
19,19992.63595720982,50
20,20167.019673525916,39
21,13980.81468686534,21
22,18850.47709430574,39
23,18882.768063879903,38
24,15474.712139013242,26
25,20878.79492572896,52
26,18723.684654584027,43
27,15251.928127006442,24
28,17829.508409542545,38
29,15495.138411065505,26
0,17742.290892154593,38
1,21211.765662243775,41
2,22722.632580230726,47
3,15517.920981828413,24
4,17905.30102081168,34
5,16649.847630953707,32
6,17599.41486798431,36
7,21757.389352989794,43
8,17008.476698596238,32
9,22702.80096327714,45
10,19970.967838961464,38
11,16788.848246484355,32
12,16158.288374067777,35
13,25021.144431798406,55
14,19609.960035423494,45
15,16324.037256633941,36
16,22616.015657532822,50
17,18555.44581070084,40
18,17264.538193240754,37
19,17123.325290919947,35
20,16396.577106130466,36
21,20334.327091405867,40
22,21644.773160007928,46
23,14732.262689535757,30
24,15470.52149494442,26
25,12793.858297469546,22
26,19079.67723469475,34
27,19106.447074150154,36
28,17387.601176265653,38
29,18122.83033945376,36
0,20479.829635611954,44
1,17564.24570405465,35
2,15720.309777249451,30
3,17998.772030068325,28
4,15026.068846499178,22
5,22771.47648374311,44
6,18233.644775389985,29
7,17053.48432649518,27
8,19055.889010510306,39
9,16190.612976253138,32
10,15999.183514455082,28
11,19459.206220895576,36
12,16222.956527575812,36
13,19181.253082090723,37
14,15866.223263270813,35
15,17985.355696363044,37
16,21957.031150064773,52
17,15803.942174998549,28
18,15024.143784426185,22
19,17350.672001550785,28
20,16171.41110280284,24
21,17551.96898117605,34
22,19095.432878203712,39
23,17998.156467258723,34
24,17147.445816840012,32
25,18798.854661822203,41
26,19928.084747674715,43
27,18677.871505187355,39
28,15131.780437863965,33
29,14607.767980035944,27
0,20274.637341921756,33
1,17893.443427077746,28
2,18134.89954235144,40
3,15530.13258954776,24
4,14272.29656318481,27
5,18038.506559828136,39
6,16872.08688554282,38
7,16188.955509061483,30
8,18929.474722287334,39
9,18044.64907423228,34
10,16648.479648716548,35
11,19221.584001099265,41
12,15820.064637577256,33
13,17553.646677119126,33
14,17447.191158458172,34
15,19895.088713136047,48
16,19790.42320074052,34
17,15517.767505908498,31
18,20259.45788202483,45
19,18382.51031001427,29
20,21914.14751179899,40
21,22056.60966311706,48
22,19565.50218105914,48
23,16266.218305040025,32
24,14157.276572883618,29
25,15260.289332271164,30
26,20945.787439407333,49
27,19476.744452654086,43
28,17255.468057060112,33
29,19048.957332720875,35
