,30,num_discovered_nodes
0,32785.889707970084,116
1,29518.825707896864,98
2,30661.47009305754,95
3,36401.22767335064,116
4,34949.77681006552,111
5,31501.515661669837,106
6,34766.471478514875,104
7,28393.89378362044,83
8,29020.30150709512,93
9,37386.35773942251,119
10,37285.2840944483,115
11,38014.203875654064,120
12,28182.727246610804,94
13,34386.874733097065,111
14,25702.904784336482,84
15,33745.212646199194,109
16,35859.73420596622,113
17,33609.24000582732,102
18,27901.79936637195,93
19,32730.712946474658,106
20,29808.760260138995,101
21,32378.21721418434,106
22,33436.18871702951,111
23,30684.36014615789,100
24,32730.6439472377,103
25,33125.27091781226,110
26,24325.80313702554,77
27,32792.87617081194,105
28,33826.66377379875,108
29,34397.39339128535,106
0,28036.406849304967,93
1,35274.77164842971,119
2,30187.955317418106,101
3,32726.21452437176,104
4,26201.55193741401,84
5,29217.930179119136,94
6,25689.582490552566,84
7,42527.70621352947,118
8,37498.16638277477,122
9,39525.20405042733,116
10,33046.19189516855,106
11,24977.184583874023,83
12,31656.838492536797,94
13,40240.13084195835,123
14,33628.60387082511,100
15,33408.17655324259,109
16,29286.68881565523,97
17,33800.97800730924,107
18,39493.10455464821,123
19,35881.57042540566,117
20,28039.633731077567,89
21,32035.980489521622,104
22,36644.235999217344,109
23,42061.29026812513,118
24,39894.65293325394,113
25,39283.42458945401,116
26,27632.603177311852,95
27,34394.50396118409,106
28,30192.442707865688,94
29,38470.190283731135,124
0,30165.38239296436,94
1,38191.544782367484,115
2,32297.78605574621,93
3,38513.61098263303,114
4,32440.433792931366,108
5,29946.52391876476,93
6,33904.7251845478,104
7,34945.831576034885,113
8,37940.98885985919,106
9,40532.751831872156,113
10,31179.920764498154,104
11,32739.80732247003,104
12,36518.85097033793,115
13,30481.010984016895,95
14,24960.661134862734,80
15,34753.406614857275,104
16,28644.778373513454,90
17,33938.87187013421,109
18,31586.267882406853,104
19,28260.534951765272,95
20,36272.18730205347,107
21,36233.84054433788,107
22,30415.32928114446,89
23,33484.89913297569,104
24,32322.599450144564,96
25,31921.874610263072,107
26,31794.738100109513,102
27,31829.210767503846,94
28,37359.62464156073,111
29,33199.34775694174,101
0,30497.231474354554,91
1,30317.451944790595,98
2,35460.61125379117,113
3,34828.735073786025,113
4,34047.07533317434,112
5,34555.23899689911,105
6,32895.344696152584,100
7,35855.63166447484,114
8,35955.517696724644,107
9,31452.0551052415,111
10,28257.23348358278,94
11,28326.96120358824,93
12,34106.1840471246,105
13,32890.04649471337,94
14,32029.486642790936,96
15,37027.20680778052,100
16,30167.431569541797,101
17,29242.06058206829,101
18,30664.365726441083,104
19,40008.999943093404,121
20,32984.9989732431,112
21,28835.538632293858,95
22,33178.090761453546,110
23,37267.61810914276,108
24,36178.86037474941,115
25,38923.86565066238,112
26,35753.719150009114,113
27,32725.185932303793,95
28,35660.48999815337,112
29,35388.94660056016,112
