name,distance_mean,distance_std
p102,34917.27574544919,4752.69366596293
p103,36204.31924047608,4985.409163776603
p104,31963.602106314396,4353.922638877415
p105,41118.74054465302,5580.961933186143
p106,48616.66234030627,6606.586568993133
p107,42430.14093518143,5747.205963747937
p108,36747.782569226096,4994.170976362935
p109,37817.228353497856,5089.600083729627
p110,36624.57581833862,5036.366383476805
p111,30730.528033044244,4171.57292389318
p112,36587.03825951689,5069.972671346087
p113,45440.71728196161,6388.893621750362
p114,39800.19942008842,5390.0456822760325
p115,43023.55247782083,5886.825167166863
p116,31027.7586604797,4231.600058528525
p117,40675.44754148472,5531.678245868928
p118,35714.87409538309,4890.219336153739
p119,41967.30655476864,5757.728249599776
p120,33243.23454134385,4568.431276554419
p121,34068.854160177405,4654.223114409185
