name,distance_mean,distance_std
p102,35757.88126346706,4816.7877286633575
p103,36939.47720173626,4965.421261296596
p104,33066.752337413534,4451.938857485936
p105,42296.140903650055,5752.833842677957
p106,50927.81476054004,6997.427845758418
p107,44005.869651559835,5950.626691978545
p108,38062.52662606191,5245.283254411203
p109,38765.01630015498,5219.1442538348665
p110,37572.16679970809,5091.776776647931
p111,32193.8360408943,4337.024357637098
p112,37931.10553957193,5096.46637197974
p113,46345.6282340293,6364.351783955352
p114,41544.020129695724,5559.348879294883
p115,44893.752429185304,6107.374147910494
p116,32097.00431806221,4355.6736542039935
p117,41793.49320882568,5667.999651429372
p118,37033.774087788646,4985.806445332227
p119,43315.16406196444,5839.2824981373315
p120,34582.937770868695,4656.4480746738345
p121,35026.3336786554,4764.420102776822
