name,distance_mean,distance_std
p102,50412.329314128794,6970.551845152384
p103,51358.00186245863,7189.91062102176
p104,44291.92431746904,6283.306938890683
p105,62828.93316124408,8665.680586886232
p106,74347.574578149,10269.23954318678
p107,61975.46975015352,8505.521032715707
p108,53005.43235743904,7277.340354191739
p109,53821.441135961024,7512.919239059026
p110,53607.78611087647,7608.467804810098
p111,44086.97607308997,6012.907289463483
p112,53038.08731888212,7459.911157782624
p113,67541.67754237815,9319.19970628864
p114,59382.89310920192,8451.765461140267
p115,63949.144166529855,9005.986083622889
p116,45101.64560678664,6385.180718740117
p117,60508.39281140515,8446.49143736816
p118,51585.33769493718,7098.641161966493
p119,62501.31612681224,8752.756880998384
p120,46680.581363432415,6450.866680466006
p121,49585.83245790752,6816.452597938534
