name,distance_mean,distance_std
p102,41127.96144280801,5839.006322961208
p103,42180.151397288064,5879.385804379767
p104,35804.22355011675,4954.841311639828
p105,50130.91482837862,6978.927550021161
p106,59149.69091992541,8871.639077844367
p107,50135.80685602712,7011.146350262447
p108,43312.324026403476,6028.347686997644
p109,43544.018174345656,6044.126251432534
p110,43142.16012639944,5977.220390275027
p111,35737.863631076885,5032.1805296532675
p112,42636.125548659875,5940.980082817534
p113,53601.02587017583,7385.251558384246
p114,47849.941291377625,6694.212062017141
p115,51851.383687397276,7393.693400546962
p116,35991.467607393584,5145.461035645905
p117,48186.29954414141,6775.502955511795
p118,41827.00681275647,5863.0215975673855
p119,50547.99428298793,7259.932996466638
p120,37629.58526450019,5215.939634783126
p121,39730.00450065659,5494.505951479485
