,meters
p102,24429
p103,25783
p104,22452
p105,30454
p106,35587
p107,31218
p108,26634
p109,27192
p110,25811
p111,21719
p112,26120
p113,33271
p114,29726
p115,31136
p116,21229
p117,29508
p118,25708
p119,30836
p120,23148
p121,24063
