,0.75
0,85184.21359149102
1,81407.34704384899
2,84399.45335430965
3,84981.59163075335
4,81021.77037333674
5,79141.37390249452
6,88031.79636529917
7,76971.18686414731
8,80817.97330021554
9,82741.08746502532
10,83079.35590873862
11,81170.93152810511
12,79613.80413078253
13,88979.63554553528
14,79288.43903625148
15,85245.41085495615
16,81441.12331874816
17,81628.4385057689
18,84093.7919111367
19,82883.5612201839
20,83287.90113972909
21,82447.45650587816
22,86750.28067879975
23,81776.82411554486
24,83051.74800872522
25,80828.6690532531
26,78868.48560377193
27,80825.67521743925
28,80429.44805613387
29,81926.18177818226
0,87305.50932157144
1,85160.09539265432
2,81042.1173603981
3,83009.39637999627
4,80985.15139837255
5,84651.07037898987
6,83396.61845618744
7,90260.14630185335
8,80108.44580483681
9,80590.9478325408
10,86420.07204238116
11,87204.71419966959
12,76888.71895554656
13,84406.37773696081
14,84213.91883245828
15,87073.99402725528
16,82974.74040759195
17,80436.21848526507
18,81924.79995595283
19,86419.06037922409
20,87511.05000310478
21,84761.28683678503
22,84049.59093367665
23,91306.91090407678
24,81996.58323652229
25,82537.73233351452
26,87491.86634018167
27,79237.2117630163
28,79838.86141142657
29,84289.6383559852
0,80627.06934715336
1,79083.82088230274
2,75281.37766923555
3,81334.25630598719
4,79751.00281009711
5,84476.87659671112
6,79460.05767962609
7,79829.17137932935
8,81059.73580476851
9,81329.42178639788
10,79920.84199796955
11,81536.37927723474
12,80804.20920152283
13,85320.58985257655
14,83176.6322047176
15,82501.94026916452
16,84368.38905107547
17,82247.1452306107
18,81914.66136497742
19,78836.24419848001
20,74630.05944443602
21,83320.7858559287
22,81626.14999383486
23,83510.18631455721
24,78258.37708071846
25,85820.41756286386
26,81227.45538861836
27,82798.2904049276
28,80758.86345344712
29,81049.25467768437
0,79862.61208830625
1,89369.10717399266
2,84695.11406221533
3,79151.11323230252
4,78544.50957703167
5,82194.93190173947
6,83083.87460104215
7,80002.87722635936
8,82014.66062863923
9,79497.9550280676
10,83841.2062910492
11,76607.01780467582
12,78310.67571589975
13,84578.62733112782
14,80386.160304296
15,76890.45847187596
16,81914.41812165405
17,84822.9390447528
18,83412.18837423471
19,81429.60587896928
20,86172.2785736807
21,83235.52546959983
22,83862.08883385368
23,84014.77389781471
24,84357.0441530028
25,83272.37784030013
26,84646.17140015062
27,80863.17189779556
28,79634.34271279933
29,85253.55697711615
