,0.25
0,46410.8073738571
1,45032.00203077065
2,41836.954399797796
3,41482.96091567136
4,40565.68296145112
5,42540.497378877015
6,44968.51067285548
7,42204.98614037858
8,43809.20841061014
9,43882.28397751858
10,43528.20485856702
11,45536.63192387045
12,41242.89562313114
13,39910.0284564918
14,42414.67458512724
15,42950.08133857186
16,40494.92960481997
17,41889.97942664952
18,42638.343391681
19,45578.66283533865
20,44540.88258039283
21,44331.73473291959
22,44630.53293810415
23,41954.494927293
24,43491.426213656145
25,42575.51022949882
26,42128.36427288716
27,41455.48886076204
28,39624.73323058898
29,44797.0990498588
0,41174.94984310688
1,42767.961127978466
2,41136.600418440146
3,42586.53796159003
4,39848.540642198845
5,42856.81099506151
6,43761.61453153633
7,42723.58174645585
8,40331.321910083796
9,44432.45648811284
10,43436.01411630936
11,44216.892858108484
12,45112.28018304336
13,42383.67694168432
14,44809.48927349696
15,45998.88896424049
16,42713.32821966032
17,44128.46376809219
18,42405.32537127379
19,46422.355150016956
20,40562.38538674819
21,43953.78863305594
22,42043.107882175886
23,42972.95282028809
24,42738.645484561224
25,43858.13719413669
26,41070.405897474426
27,45738.35319840203
28,43136.11838165091
29,44244.632425347634
0,46873.57867060508
1,43463.717241021455
2,41594.750296480415
3,43694.03828677602
4,41263.26230105198
5,41736.36433913852
6,40301.64619276984
7,42395.90577091056
8,46107.93754798923
9,42555.28563214635
10,42546.61468984921
11,45530.22704049309
12,41733.56111981086
13,43024.96294091614
14,41525.79359640971
15,42382.46819568965
16,41485.180234987514
17,42002.08518760039
18,42183.14887559943
19,39892.98271178382
20,45716.92816469824
21,45227.13543027885
22,41622.27455330466
23,40633.705095864665
24,42561.874852809815
25,46039.29308124218
26,44427.48756414998
27,40163.99902343242
28,43987.11985029301
29,40831.34700967788
0,43133.93732466504
1,45008.80401389845
2,47629.191340666206
3,44205.03874191571
4,40468.21774906495
5,41163.898341018146
6,43511.23971818583
7,43725.12220070224
8,42555.403763308845
9,44248.20159108638
10,42881.10080334523
11,42645.17780369038
12,43429.29946822409
13,44145.07250763874
14,44114.964076076576
15,41172.649865316904
16,44465.37047768052
17,42912.37045269287
18,40245.66340141642
19,44371.00667513996
20,46448.0507117429
21,44176.44108065418
22,40201.24288868309
23,43248.90981028982
24,41626.94915476876
25,43521.73142754976
26,45623.47882925895
27,42795.38299090438
28,43629.18251867994
29,42882.77608935956
