,0.5
0,64851.6718827298
1,65098.922825170564
2,62142.93339071935
3,58479.92822729834
4,61749.980822614714
5,65408.52286534738
6,64979.59500967232
7,64647.91166529774
8,66459.12673027128
9,63066.82406590656
10,62261.815963996225
11,60425.81821319183
12,65902.23518276129
13,64480.34682606658
14,61898.613363994795
15,61948.564164272015
16,64852.85048360322
17,64801.349875764034
18,65290.06339498896
19,62519.58273583053
20,65254.00186799706
21,66472.12288519878
22,57739.454837917714
23,69213.04650433251
24,62313.30930445476
25,60279.469785276444
26,68855.68422796113
27,71840.69709741333
28,60812.52318428311
29,63248.00853534974
0,62313.88137783148
1,55994.023378006044
2,64678.744937908414
3,60379.32109952413
4,68010.30890142094
5,67165.98533197242
6,63290.902873124054
7,64946.90745249878
8,59796.24160738457
9,64689.46067013705
10,59382.97388669112
11,65674.29638076456
12,59792.43056843519
13,63422.662856233765
14,65930.82901922234
15,63918.674632455266
16,60618.4026253014
17,61330.79457790591
18,63219.7331932624
19,62437.606436998896
20,64142.982765045046
21,69282.76817140103
22,62070.53184044291
23,67343.10156626566
24,63846.945099709956
25,60887.37515708613
26,59751.871591643205
27,62778.588400199624
28,64901.4398303176
29,62226.52062580413
0,61383.52096552632
1,63611.847043655995
2,64289.792038404514
3,60228.72155713788
4,66616.95968781883
5,66994.92314841122
6,59533.75283527527
7,66746.08534708516
8,61472.22657109345
9,70684.87665809385
10,64180.693077358104
11,66248.02714142838
12,68463.90023556331
13,68585.83869335368
14,62817.87871960393
15,65596.24970721065
16,67931.2034736434
17,64977.141696202794
18,59440.14323529109
19,58667.543104459575
20,59971.30544752832
21,62531.35311995206
22,62473.76319797516
23,62403.832193061986
24,65225.05158771646
25,62415.221251885145
26,66661.141455688
27,63479.726971016906
28,66519.11342900111
29,63165.12403010512
0,60033.22910711853
1,65719.76860085159
2,63388.03706165715
3,71309.13812819972
4,57894.33450441678
5,65716.25285587028
6,64409.270599287265
7,61706.86803203675
8,68433.55776175002
9,61410.6126056812
10,65227.422771631886
11,61372.14442318137
12,66754.56088290943
13,64209.2871140628
14,65561.62802579242
15,60151.18413925683
16,68501.56696404936
17,69899.6553025965
18,59676.6619835929
19,68285.05630340792
20,63242.19103170256
21,69130.38308587449
22,69424.1850606948
23,65817.29663363713
24,65905.68732914717
25,65168.091082185594
26,65249.70844354115
27,61668.719048549865
28,67252.41397435825
29,61790.63525951192
