,0.25
0,32072.15927327396
1,34778.275861471746
2,32772.21238029496
3,32436.161098867025
4,34430.77794497423
5,33278.22678081679
6,31916.14597577974
7,34052.97986061955
8,30313.38432421444
9,34054.495029008576
10,33799.52568346962
11,32080.72623968613
12,33524.4462490444
13,31665.027381702956
14,34641.882088232116
15,33536.19102073476
16,32371.561485156115
17,34352.91544626749
18,31259.353590545288
19,33136.9643252542
20,33900.95639579042
21,33159.390062289065
22,32773.89981692099
23,33710.06150995247
24,33080.79002808707
25,31321.48564101553
26,33776.47027382552
27,32173.533983357363
28,35504.36497368857
29,32363.984298686806
0,31701.58376659306
1,31892.899930308427
2,32827.01627134988
3,31590.386523071735
4,33365.14084735163
5,32802.99885644142
6,32821.17050915177
7,33823.389661206245
8,33845.322973448536
9,32638.425523878235
10,34694.50451928195
11,32849.16028553675
12,34778.36829130301
13,33567.29042020714
14,32328.356774364605
15,35489.34115510467
16,34454.26713381597
17,33246.7958251359
18,36580.48524133548
19,33247.07769712129
20,35408.188738562705
21,35982.72961773226
22,32370.851094776037
23,32079.807549574034
24,33100.943307040536
25,32047.143365703043
26,32739.665197309776
27,34970.25927455798
28,33182.55742778648
29,32706.72074425936
0,32846.89712969301
1,33714.36007006968
2,29590.950791575713
3,32801.544576558634
4,32254.04080391601
5,31702.06622327567
6,30491.226201003563
7,32573.31491067607
8,32645.964090935006
9,34951.06688096859
10,33863.8106038294
11,34218.87079073389
12,31071.286906542813
13,34548.91415987815
14,33115.03441469135
15,34485.24161453878
16,31543.84760455985
17,33092.99728818175
18,32069.695594689965
19,31322.222257901
20,34479.00945136351
21,32839.05670874556
22,31415.62742633225
23,31068.195066023476
24,30964.904998650618
25,33825.5657934914
26,31617.800956574632
27,34316.96079214344
28,31842.656228684104
29,32960.3326938171
0,30789.04764993613
1,33003.31343216512
2,33526.82108333885
3,31793.981916902605
4,35689.957763918195
5,32786.373386649924
6,30243.225647326417
7,34807.580128394635
8,32908.51671712415
9,35317.06408612606
10,34071.24111926536
11,33983.05431892717
12,35152.99643298216
13,33123.85118742941
14,31906.614255743567
15,31154.33386543732
16,32624.07717920181
17,36071.47929044387
18,33395.390655027106
19,32735.994497799573
20,33941.7409454403
21,31168.707802314126
22,34780.2475507914
23,35331.10156616095
24,30991.667827698067
25,34204.997260959106
26,32816.242048568005
27,32276.255759881995
28,32896.028482463305
29,33164.453077994454
