,0.25
0,52382.3534222715
1,50205.29342788034
2,53951.722093005366
3,53737.84291202632
4,52486.350250618474
5,51276.6099433807
6,46622.92138398779
7,51783.03225364291
8,50214.546362452485
9,50980.95709642236
10,52175.12060758409
11,48774.228474763855
12,48991.62614347211
13,52789.21444921243
14,45919.08231665362
15,50025.39269887306
16,56237.65714517977
17,53304.69550998666
18,51577.075266729546
19,47966.73603143372
20,47325.40532171443
21,52855.584743553925
22,50023.46986325218
23,51287.680375629316
24,50640.72337882997
25,47209.411919580394
26,47677.41727057144
27,50215.54582208512
28,48467.179991875964
29,48040.667024624054
0,50919.947183156175
1,47041.39714249243
2,50524.82400759218
3,49363.41659677477
4,49235.64432634376
5,48396.06272110329
6,47237.436141078484
7,46250.4742361793
8,49020.17496175021
9,49479.12015802405
10,48632.14713499112
11,49157.082560273855
12,50403.20019598808
13,51394.24336994782
14,54138.62710384707
15,56930.579578509634
16,52295.54073350548
17,46676.042379169245
18,48456.0204858972
19,52670.20859960872
20,49440.78125462211
21,51105.94653438929
22,45703.55511295741
23,47378.87400530603
24,50746.467638647606
25,51187.51127597787
26,45429.684133722185
27,50460.75385662376
28,49315.09765621302
29,47994.47035270498
0,49383.17541418616
1,50777.73629340051
2,50135.52350814323
3,45945.00750952355
4,52928.674154515385
5,50537.85933148557
6,49536.69436340332
7,51211.15808660666
8,46513.09744231295
9,49826.5499985936
10,50965.5909495723
11,53437.584150837465
12,53458.922555374
13,49792.58177176925
14,50719.79535750422
15,45652.05143748116
16,50225.73408984374
17,48693.59808411398
18,47080.1742326074
19,47157.932932180855
20,50186.67001745807
21,52380.50729603801
22,55354.06404131511
23,45619.38116034802
24,49452.69472088842
25,53007.13116310662
26,48161.43564119228
27,48188.97216156098
28,48524.821712914636
29,56519.67000813482
0,50249.02813769337
1,51939.53440430932
2,46351.29791614339
3,54519.59904993172
4,51551.133649042924
5,47512.25534619606
6,52871.560943317854
7,55181.66694987523
8,46635.9513023334
9,51704.38283812494
10,55306.52001120834
11,47138.809796274014
12,55361.563697424805
13,56527.417235219
14,48817.020853963804
15,52297.19890078741
16,49821.04461940833
17,49801.25785099795
18,45183.761903957944
19,53271.261066657025
20,51669.052922644136
21,49788.13958352395
22,49871.09500262468
23,49323.36383082252
24,48711.42993427099
25,48884.34683522241
26,51829.32089463816
27,47366.96337553249
28,50652.685960245035
29,52038.563596281296
