,0.75
0,39232.5166327986
1,46237.259356042625
2,44220.41405954198
3,41441.92526036644
4,39167.919972074735
5,44683.754791480664
6,40800.084567225014
7,45041.57643035394
8,45611.70765462402
9,39483.32680828751
10,41776.3892430748
11,43914.23775763041
12,44978.13063591354
13,44318.072605732785
14,44374.905989979336
15,43587.544447918866
16,42149.42254036948
17,42715.95599193352
18,43502.132492302
19,40243.20088703908
20,42468.742271399686
21,43487.98175330816
22,40619.545416211615
23,43414.279626546195
24,41278.13887217062
25,42625.54695164292
26,41043.568110297376
27,43046.620580130846
28,43524.93618884792
29,44336.26466120038
0,43746.35861904798
1,44084.87860249611
2,44556.50806217386
3,44181.64240991358
4,40736.71520263698
5,43083.50046879661
6,40625.337980720586
7,42936.68535084431
8,42901.20965379631
9,44972.918142509196
10,45830.14306713439
11,44538.86971402256
12,42364.94651601423
13,48632.877876328486
14,40467.02179706179
15,44094.89263971818
16,43847.55952952983
17,43211.117613534196
18,43131.03374545664
19,40540.40957957328
20,42845.756437089905
21,40824.114295418345
22,42921.51937732259
23,43510.584268132654
24,45126.52794425909
25,44262.37488149176
26,45758.366766798434
27,42092.745577963135
28,46021.38701473683
29,43501.886369667875
0,38669.69001575707
1,41783.6058960623
2,42679.44140434573
3,43105.787405271876
4,42366.2372976895
5,39730.684209854604
6,43760.56027670522
7,43584.06806995936
8,45119.91363696774
9,42350.276566984714
10,41851.33313151103
11,44958.44887261053
12,43192.175583508295
13,43870.99685694827
14,46616.73387606556
15,41753.02739597265
16,42586.47820575368
17,42978.65932019581
18,43179.57559833041
19,46546.73796041616
20,46104.679055529414
21,43226.91818001577
22,42133.14602818456
23,38129.26095055252
24,42821.85507489226
25,41922.51492236895
26,42322.915873924816
27,40895.807077482474
28,41273.23427585136
29,41246.87184068088
0,44773.43392028584
1,44958.8539283608
2,43208.20903553244
3,43056.786104126695
4,41776.850755083025
5,45095.57514346429
6,44397.49246192005
7,41055.406495271476
8,42237.85697721492
9,39930.99658451088
10,41440.51139224156
11,40751.01539305341
12,44362.50683926321
13,43917.741462487385
14,39979.896522616946
15,44326.112988673456
16,40409.011706222926
17,45201.97997785878
18,43852.02189156854
19,42746.35807973302
20,43086.07728434031
21,43847.13494347916
22,45541.65075240731
23,44650.87143104472
24,43779.31087204829
25,41664.937278028265
26,42746.173494273644
27,43738.15660915035
28,44634.212370406836
29,40984.559175201066
