name,distance_mean,distance_std
p100,48222.701180903714,2090.4445150011675
p101,54081.389953836006,2213.1221559969986
p82,52034.83931193012,2310.3581912599607
p83,47187.84486816596,2030.047767714152
p84,40975.244598245976,2320.916623949053
p85,49992.19764946167,2759.556254077362
p86,38104.359237396755,2405.2621183688952
p87,51640.433150094046,3450.583676027458
p88,37396.342938861126,1633.4769337187863
p89,56940.65465046235,3390.2180628326287
p90,63182.22420872263,2901.0045422388566
p91,47456.15409336231,1967.096545497557
p92,50111.6320286548,2786.1687382573614
p93,46292.21541021727,2543.5639035472177
p94,67063.70382826339,3791.3580835310577
p95,74858.9978019115,3066.732568038254
p96,64159.30198253178,2934.592762280203
p97,39592.37661232015,2113.6698254717644
p98,36036.66693372913,1738.582134251402
p99,45964.23831560095,1879.278501839495
