name,distance_mean,distance_std
p100,31152.11620763608,1464.4416117414744
p101,37090.92785360296,1057.6350010461167
p82,34432.31434819619,1583.474318085633
p83,30917.60397534584,1468.8068295681553
p84,27735.259985766523,1285.539150151701
p85,33006.51941658428,1221.7227052352912
p86,24969.752302135217,1459.3785930012887
p87,34701.31996438189,1323.6567648259206
p88,26248.316262950182,948.6011448749038
p89,34563.16258585237,2264.6828840831918
p90,40111.74809275982,2030.0546225948124
p91,31798.178623719505,1144.2606985452603
p92,33501.28175085892,1508.2801938462555
p93,29840.05607324007,1657.894087983901
p94,43011.40237408998,1918.121110495288
p95,45653.36489545612,1341.6156511424656
p96,41774.60324812549,2443.3188052065857
p97,25715.494436318677,1110.3196245844165
p98,24377.970219244526,1155.8709208559867
p99,28100.34499240327,1180.7866735100954
