name,distance_mean,distance_std
p100,56394.002600895576,1954.1648553602015
p101,62585.42971894545,2538.3458151089676
p82,61965.081086593105,3331.9354176738634
p83,54971.177042856805,1855.6995869351883
p84,49749.78363892192,2806.5106522303568
p85,59856.090457244056,2501.0637981170676
p86,46765.8564035309,2896.1191652919997
p87,61997.28910172988,3311.196691718062
p88,43918.469914982,2052.0301730937663
p89,68118.10209342653,3669.153449561894
p90,75059.85419638366,4173.579399068711
p91,56283.03762569611,2569.7479936253503
p92,59846.13143173385,3656.7771714222886
p93,54504.721722482835,3016.326580486674
p94,76430.72127315354,3388.279215883089
p95,89093.93429411104,3408.0935799285585
p96,77750.9151972381,4081.859283663759
p97,46321.70039620176,2632.1102961194997
p98,43140.52539287312,1595.2942785708651
p99,55140.475040455945,3570.531494255536
