name,distance_mean,distance_std
p100,29607.185839290047,1593.5158262078826
p101,34113.80893281242,1477.6314341864247
p82,33048.78121998101,1645.8124809333947
p83,29138.115654495086,1364.9824030693067
p84,25283.15954273732,875.348955268229
p85,31637.117382009063,970.5042714493577
p86,23781.558207589922,1314.6773587357293
p87,33080.50362475555,1236.7464108975648
p88,24668.92798452901,861.351747965544
p89,32137.323557331183,1647.91010083095
p90,39112.24350994624,2190.2045123933462
p91,30493.97537435058,1159.3815686965154
p92,31413.79099996283,1168.6937853336735
p93,28347.938508954754,1297.4156171857019
p94,41842.25027861436,2073.049818953039
p95,45175.229453668966,1761.5718667033896
p96,39917.882985128585,1531.432204478101
p97,24455.21286419029,1510.6741907778314
p98,23464.15148590592,1150.9049323849463
p99,26853.97873347376,1251.1216500965124
