,10,num_discovered_nodes
0,18195.26448864382,38
1,18518.35937301766,50
2,17862.876202846324,47
3,18104.321091019418,41
4,21581.309916204475,47
5,19996.098378776434,48
6,16287.382885836516,35
7,18854.21334219656,43
8,18047.602247547748,42
9,21001.315257233342,49
10,17466.966060735158,44
11,12590.766922558769,29
12,17808.8689614891,37
13,15841.191938707107,39
14,18317.215606512153,46
15,16315.393995479331,38
16,16026.772082911848,33
17,20756.539424942344,52
18,17219.085648747045,37
19,16241.221067692333,34
20,17126.005221033556,40
21,13282.46621146124,31
22,15766.93585325035,35
23,18273.348608352677,52
24,15207.59538068612,41
25,16615.022204371875,42
26,16256.00534602055,38
27,14747.314138343223,32
28,18556.040935926518,48
29,16284.96501389201,34
0,17832.46261752218,42
1,16409.6818683003,40
2,17186.805852826936,44
3,18942.871890445906,46
4,13516.495189738855,32
5,13747.467502668214,28
6,19306.87230827524,49
7,24101.74087054968,50
8,18375.63521518233,43
9,17887.74290763943,41
10,16792.17051431192,41
11,19116.020283355934,46
12,15742.201192081346,36
13,21414.552594388362,41
14,15814.034284583171,35
15,17910.224304973664,43
16,15431.135226693237,30
17,14825.930019353793,31
18,15882.628301364795,38
19,16715.79846893417,42
20,18912.69110631078,47
21,15777.124178163636,36
22,19590.64857820266,45
23,14470.788138474976,43
24,14978.219629118754,30
25,17322.872540120825,35
26,14519.89566489589,30
27,15524.200388949877,38
28,15744.764250401353,32
29,13030.054242755023,29
0,19204.710267666844,44
1,19965.919108441794,45
2,17031.530522654066,41
3,18466.53211608806,43
4,18976.250002428635,51
5,14261.56875158364,39
6,18278.214442425462,44
7,17380.359837770768,42
8,21796.795839625378,45
9,17486.584935473453,40
10,20243.12290649583,52
11,13246.817953966603,28
12,14286.714674127523,31
13,22288.027202611225,53
14,17259.811948514176,49
15,15554.205220066822,38
16,14571.518177051006,27
17,19791.663769507228,53
18,20023.485609566174,46
19,16807.004909767467,39
20,18795.45953339229,42
21,16387.865409093705,31
22,16320.232416989253,35
23,19107.937432124592,47
24,16580.73689158034,42
25,16604.309315942806,39
26,12730.976548395814,31
27,20250.500453818524,48
28,16960.439267445952,39
29,20262.579922937628,52
0,24529.20770826941,56
1,15834.704416605951,39
2,13886.219493689963,27
3,18671.542789110204,42
4,19902.967351478455,42
5,17380.82260253628,48
6,20146.09963845112,51
7,19220.38148465699,42
8,16430.9853668526,38
9,14839.908139292513,29
10,19565.269495579818,49
11,20061.420381672287,51
12,22369.11664838019,51
13,17420.89529875016,38
14,19519.07039629018,45
15,15216.886921041545,39
16,18789.49022398984,46
17,16006.36603176034,38
18,16520.375517982277,43
19,16624.820949939185,36
20,13429.41206481407,28
21,17778.203324701466,44
22,14212.767832388477,29
23,17174.183165150404,46
24,17064.236068707305,36
25,17827.562441597212,34
26,17900.668471048753,46
27,15638.716374249481,33
28,17710.358610834282,43
29,17219.60897317346,42
