,distance,num_discovered_nodes
0,39010.577950794774,150
1,38421.031894985375,150
2,37262.69828080706,150
3,37225.27596002829,150
4,37578.2719837986,150
5,37314.66016631784,150
6,38403.05791116928,150
7,38460.3609423757,150
8,38288.72531771626,150
9,38503.707116087266,150
10,40495.64930191586,150
11,38313.430481823576,150
12,37502.331532043,150
13,40461.8130658195,150
14,37548.45603436377,150
15,38579.808321565164,150
16,38137.39098899501,150
17,38812.5596186919,150
18,41063.77570679373,150
19,37954.81602498796,150
20,38477.01119584,150
21,38642.53646216651,150
22,40943.8927915017,150
23,39029.95022059061,150
24,38226.22203605491,150
25,38896.37879174919,150
26,37293.255067101665,150
27,40501.264417646285,150
28,40666.821322396194,150
29,38647.56871893672,150
30,38664.73306288319,150
31,38779.9342634873,150
32,37663.051427890474,150
33,40231.46323683345,150
34,37382.12639912275,150
35,38471.59137469454,150
36,36717.871106485225,150
37,39308.31482603337,150
38,37216.373341670536,150
39,38489.91287737911,150
40,38522.41566233197,150
41,38614.27535635414,150
42,38834.4803055776,150
43,39544.35851686242,150
44,37019.544182130354,150
45,38208.24450536491,150
46,37338.7825380936,150
47,38366.21077285747,150
48,39310.982235178235,150
49,38771.49646946535,150
50,37473.740373992194,150
51,38179.80524254126,150
52,38103.85743740146,150
53,37137.42079909953,150
54,37120.80290322258,150
55,38774.93369820736,150
56,40127.4392296665,150
57,39781.15777878025,150
58,38969.71820983474,150
59,38196.2653348173,150
60,38861.97140512915,150
61,37994.480001189884,150
62,37451.58482952476,150
63,40071.29142268508,150
64,41333.864207198814,150
65,39931.979963954735,150
66,37988.91978318584,150
67,38137.04396854969,150
68,39203.962312636424,150
69,41425.952396388326,150
70,40675.027592862745,150
71,40452.38257591854,150
72,39571.95200101154,150
73,38714.05309355446,150
74,38643.95310042724,150
75,38252.164012915186,150
76,37970.15770591912,150
77,38808.048674277146,150
78,38541.12668105253,150
79,38293.04456472152,150
80,37771.69579323322,150
81,38861.08889214421,150
82,39596.524605066734,150
83,38359.39748763408,150
84,38409.102829086536,150
85,39084.14529784901,150
86,39716.56793777737,150
87,40578.8194559029,150
88,37876.373821992805,150
89,40912.8094668666,150
90,37930.811189011976,150
91,38045.90043426892,150
92,39491.110309491705,150
93,39141.817619202506,150
94,39045.73500013262,150
95,37290.05210931455,150
96,37179.57561293208,150
97,39407.51232512598,150
98,38147.772898697745,150
99,40071.69500441732,150
100,40123.1550562269,150
101,38485.909780540715,150
102,38428.35292403038,150
103,39009.50071333864,150
104,38547.804292413035,150
105,37520.300508213775,150
106,38383.58935158188,150
107,40653.88213079813,150
108,38727.58929547287,150
109,38640.574969176734,150
110,38488.64651411373,150
111,38304.17006065891,150
112,38007.97209190668,150
113,38357.72267623948,150
114,38230.08245793014,150
115,38547.75663503167,150
116,38557.70387520742,150
117,38219.74127354909,150
118,38579.31912828506,150
119,39355.92141931828,150
