,40,num_discovered_nodes
0,30780.757721492355,49
1,26074.85915004635,47
2,28654.117843285036,50
3,25516.34701376134,45
4,24668.691394451514,50
5,27027.120636870204,46
6,28003.353442442243,47
7,29849.571434137004,49
8,25951.8622789961,49
9,26491.572230140602,46
10,29014.366296691103,47
11,29776.586135944286,50
12,27342.8972781475,49
13,29075.528804374364,48
14,28287.979659604604,49
15,29157.991996660785,50
16,27785.363630256288,46
17,25554.37701244104,49
18,26128.888706762024,49
19,26208.22359781418,48
20,26585.93720018974,49
21,27798.024387908026,47
22,24651.920768411273,48
23,28849.832140805916,50
24,33820.98150046263,50
25,26882.115133247895,50
26,25693.194227800628,46
27,26320.80404547452,48
28,26055.425160133498,49
29,28810.285194395055,49
0,31792.373620575057,47
1,29150.538699515026,48
2,27185.165322389246,46
3,26471.517715496953,47
4,28157.709724399097,49
5,29476.016233544487,48
6,26067.50184036676,47
7,30031.033477172747,46
8,27351.343662830637,47
9,27229.89146948821,47
10,28307.009733243336,48
11,28120.928976159397,46
12,29650.669422896965,48
13,27585.36372695804,48
14,29146.80950777753,49
15,25791.217248499142,47
16,28270.11464469475,48
17,26034.79144310126,48
18,28066.557074614495,49
19,27413.63376463912,48
20,28449.23207645155,49
21,28055.42921803543,49
22,27709.082771876732,48
23,25986.968719928536,48
24,25464.06165070548,49
25,27319.82874174993,47
26,26836.30964653795,48
27,27243.159868361945,48
28,26042.710863688004,47
29,29341.058121780316,48
0,26535.67364967898,48
1,26433.784900103827,48
2,28139.911670071957,47
3,30611.60016643856,50
4,29778.905341319616,50
5,27855.852172791034,47
6,28302.218658290127,49
7,25554.711147295253,48
8,26082.182962773804,49
9,27455.810015329433,50
10,27018.577774888567,47
11,28269.886577206504,48
12,27669.285221553928,46
13,26054.77359082215,46
14,27817.34699964522,48
15,30863.040301005483,45
16,27546.049022229654,48
17,27135.540103412633,48
18,26316.75544301469,48
19,29272.710714073746,49
20,28827.14140983702,49
21,26309.428357041896,48
22,27037.817101016262,47
23,27091.118281043317,48
24,26778.915359789557,48
25,24106.220972509494,48
26,25580.524120785765,48
27,29170.223021310496,47
28,26593.055986875752,48
29,28854.272865039336,48
0,30517.676266593688,49
1,27381.134818644474,48
2,28458.22257591871,47
3,28199.635274729873,47
4,29668.48057896062,50
5,30420.385555892335,48
6,28448.5723775317,47
7,28753.716965876767,49
8,29934.76467046916,46
9,28558.280052749516,47
10,30108.378266463915,50
11,29689.597350507334,50
12,31444.354901017225,49
13,27098.888084061993,48
14,27808.851536276557,45
15,29139.151687321486,48
16,28558.343758299245,50
17,30181.57528589505,49
18,30562.840293706355,49
19,29388.968227652513,46
20,26646.73731246587,49
21,25896.590476938003,49
22,29154.63035928445,49
23,27626.694651997837,48
24,28451.05409144,46
25,26763.795628584845,50
26,30478.56257066816,49
27,30392.082531997297,49
28,31948.754579437136,48
29,26205.010779817876,49
0,28138.872857752438,49
1,26501.53963761833,47
2,28924.84098159358,49
3,28001.02647725564,49
4,28339.051501862414,48
5,29134.856287735543,48
6,31008.942651133606,47
7,27303.994803326168,44
8,25699.707113737804,48
9,29699.25910403423,50
10,29352.458176411878,50
11,28344.128230285893,47
12,26005.434890663964,47
13,28754.86047668337,49
14,28757.61679147779,47
15,26218.282951459154,49
16,26190.996278891005,47
17,30070.634285259897,48
18,27191.13984073827,49
19,29365.09241170737,45
20,25535.00008635579,49
21,28679.838840094348,50
22,28945.34852032992,48
23,27139.587711525903,48
24,29317.888616911976,48
25,28709.136554472316,47
26,25449.19491487415,49
27,25939.304956450196,49
28,28065.194084720773,48
29,26846.67635875151,48
