,5,num_discovered_nodes
0,24637.271546241725,12
1,26434.76179348736,17
2,27215.279626496635,10
3,26714.900307440934,18
4,27576.259248185364,19
5,28610.520938822276,19
6,27385.798997999045,16
7,29305.348768095286,16
8,25139.90452812634,14
9,26178.569566836275,13
10,25722.702499537612,16
11,23449.425693929577,15
12,23783.496988534724,13
13,26297.57957007283,16
14,24156.79702642498,11
15,24991.484020306503,11
16,26771.35694885092,14
17,26036.936263362975,18
18,27898.379306133473,16
19,24747.248084259572,12
20,25222.82939581377,13
21,28207.06211092592,10
22,30090.34890106754,23
23,26862.86955709779,20
24,28180.936291639817,17
25,25322.04984787379,14
26,26242.106633430965,15
27,27778.700734867663,16
28,21776.44554793216,10
29,27142.74730476807,14
0,25491.533232756738,12
1,27107.126278954933,13
2,26415.891918425114,10
3,30448.634236621056,16
4,26085.95928520977,13
5,26765.877193286116,15
6,24267.241176532156,15
7,27278.943257589297,22
8,27109.453917428564,15
9,26389.382943883957,16
10,25396.12268978432,14
11,27324.174854074143,14
12,27321.582829389543,17
13,27308.97713190905,16
14,29697.217605125126,17
15,22840.107653138275,8
16,26048.440575658835,12
17,27651.158774438496,16
18,28928.99463863243,18
19,24113.15547371065,12
20,25401.304500802158,14
21,25647.526432044753,20
22,29520.944626535937,21
23,24283.097892893104,14
24,26850.015673677226,15
25,25839.953154219074,11
26,29800.843329361905,21
27,29211.938280071623,21
28,25345.414181221786,13
29,21597.198480390274,8
0,27824.110589991673,14
1,27978.022234342952,18
2,30873.961275926446,17
3,28118.041507463215,16
4,27969.34442396616,17
5,26857.044175123086,12
6,25730.40312937977,15
7,27241.00049255161,16
8,29551.498327306457,18
9,24710.957051395384,11
10,26650.089078910063,17
11,26058.09400529404,14
12,26344.083349979544,13
13,26119.5283188057,17
14,24542.86896877967,17
15,26830.783251014094,12
16,26620.893646295157,15
17,29864.747438901766,16
18,24158.25715427198,10
19,29396.582203793845,23
20,28142.470639697174,19
21,24465.88345187882,14
22,25777.74088117971,19
23,25765.59984841026,13
24,26971.299899757425,17
25,24107.596974146192,10
26,24997.447984492326,16
27,27508.729922401446,17
28,27046.63325452376,18
29,28336.423753371582,15
0,26080.839000322117,17
1,24136.979821661484,11
2,23331.442335195163,10
3,28658.72064289075,14
4,28652.818841609478,18
5,28766.534922282823,18
6,27045.29825353029,18
7,26019.571991756235,12
8,23652.9537804146,13
9,26544.031292410204,15
10,26494.795733186806,12
11,27854.344928568407,19
12,25557.39357134965,13
13,27608.719356887137,19
14,26187.21591265749,12
15,24580.25446446396,13
16,26094.282506802167,16
17,26930.543243313503,15
18,25688.70752624099,9
19,27257.62604900008,16
20,23617.914881013756,11
21,27377.10454538923,15
22,27846.55770063811,20
23,28623.96321274746,19
24,22638.120218860655,11
25,27735.948255033923,19
26,24568.378165889844,13
27,24177.838442352735,11
28,26616.946470842453,11
29,27837.452783100904,15
