,30,num_discovered_nodes
0,33403.29643990767,123
1,33797.19814603809,127
2,38365.339252684644,131
3,39659.792514180335,131
4,33254.97608427309,118
5,33074.10457209276,119
6,32778.48300836178,121
7,38529.11118673286,134
8,30693.651729094792,116
9,33666.149878197175,127
10,47536.84480581695,141
11,39458.973340556244,131
12,34187.12474413501,124
13,32126.105434781617,113
14,34689.063411592666,129
15,31261.58082858063,127
16,38092.33989997077,128
17,33520.09019193823,125
18,31166.24344003097,118
19,37246.30340668002,126
20,31688.961817502342,117
21,32953.53446969359,124
22,33079.343876069324,120
23,27071.83398351488,115
24,32426.164406516396,125
25,36885.402543116536,134
26,34205.614165815976,120
27,39348.66547561007,128
28,30199.24268346187,120
29,32348.090518479876,120
0,33701.36375703707,118
1,31522.20034332416,123
2,34460.846631499786,124
3,33210.04923445035,120
4,35540.1111555134,132
5,34421.40572086712,129
6,31694.179592291657,121
7,31465.655389230767,113
8,31605.2660888235,122
9,33351.584817881754,123
10,32734.963646738503,112
11,36408.64833463335,128
12,34050.235090344555,131
13,35929.782193393236,124
14,31359.285550178647,113
15,30465.752745631937,111
16,32034.98374865008,122
17,40228.57790643142,131
18,35754.000447206614,128
19,35132.89835566942,127
20,31386.542870572186,117
21,37449.27884148388,126
22,23480.714885825488,103
23,30939.403756242926,112
24,34669.59524024289,134
25,34258.54896943637,120
26,30879.058450255543,121
27,30044.57126561291,115
28,30444.48130287624,108
29,34896.73288062994,126
0,27981.597468493488,114
1,40474.86802084954,123
2,26601.452150342913,110
3,30684.921465407984,113
4,31239.018232653256,113
5,36014.78088074906,127
6,28176.116242717973,122
7,35429.16896094527,125
8,28893.470330736593,116
9,34911.99586323688,128
10,34827.95333770851,124
11,36143.50332017458,132
12,37289.20332967978,127
13,32800.26544686423,111
14,34421.331945808444,118
15,28296.924797599866,106
16,32549.660666650052,119
17,35094.948499100945,118
18,30262.0590957336,102
19,33189.23956575638,114
20,35775.44304639935,125
21,30557.74929523919,122
22,33469.91304180151,120
23,33766.38889843782,113
24,27026.284501892762,106
25,37810.46913994551,129
26,32978.12174277248,125
27,33830.07110999384,124
28,31431.00055724055,123
29,40577.93701964559,135
0,38160.304748481845,130
1,33685.68646404592,123
2,33933.63624977493,120
3,34454.5793569223,126
4,39072.22191054678,128
5,32615.073342542495,121
6,33120.466211792416,121
7,39662.08912205707,139
8,36493.81486142194,124
9,29752.211474005388,119
10,34004.632875440795,128
11,33928.83996230767,123
12,31047.220044161593,123
13,34182.58611868435,129
14,35044.32491033464,128
15,32028.17488782127,125
16,37184.80056002545,125
17,39608.27550322963,129
18,30166.001802061404,115
19,38624.208995226516,127
20,26920.0513734219,106
21,29438.47184128407,116
22,33499.78943639484,122
23,36968.46602524292,125
24,38451.88553218535,132
25,28687.196345179113,104
26,27241.534205389038,110
27,39271.142662846425,116
28,34459.02255075097,130
29,35804.90587494233,129
