,30,num_discovered_nodes
0,34744.25779589142,90
1,34755.826984450134,89
2,29629.012455482618,91
3,31728.75975912349,90
4,35451.998039985,92
5,35710.39091722423,89
6,33226.2801096192,86
7,28067.073963330426,79
8,30249.4884890119,82
9,30652.83545262511,86
10,34350.70067039973,84
11,34738.60566939538,88
12,35681.461366753196,88
13,33604.72934555977,87
14,31462.07597735071,87
15,29987.32082202479,83
16,28701.17529521695,80
17,32629.726217824624,91
18,34053.674471329665,88
19,33366.422485630195,85
20,33028.77543737314,92
21,32491.972963938697,86
22,34474.234131222336,90
23,31561.139494888288,80
24,29994.92956585585,89
25,30501.151458928114,82
26,33812.5977498475,91
27,31449.51453192042,86
28,35907.651194425445,90
29,34192.994770229096,92
0,33649.87707480139,86
1,36846.20136585226,85
2,35616.84090868814,89
3,31719.269339919847,85
4,31638.561665466794,86
5,33211.82363225074,83
6,30138.14715637284,85
7,31573.522128073986,83
8,30116.47418399172,84
9,30175.66846569255,76
10,32435.931780254286,86
11,33154.267889599854,82
12,33287.067999932064,83
13,34471.384935531765,85
14,29251.16262785238,87
15,30861.57978805151,79
16,35232.14685661897,89
17,32299.327466269944,91
18,31992.160359684916,84
19,32665.813385759724,86
20,32730.089676474945,87
21,32742.78756489238,86
22,32580.313699768645,83
23,30172.458574413024,87
24,36113.11883802903,88
25,35802.26023783542,89
26,32474.271184493184,90
27,33522.12708624881,94
28,33517.100966519574,89
29,34141.31644567552,91
0,34644.71166012542,91
1,34563.4918139952,86
2,33545.73335203962,88
3,35240.14894409274,90
4,33547.02233847018,95
5,32638.882050033368,88
6,36135.87746289728,93
7,33056.03375877352,72
8,31592.735254218846,78
9,33054.276767841926,87
10,35078.828473222486,82
11,34256.04011472117,89
12,34197.25775519527,92
13,35936.06170858566,91
14,37701.489589907185,92
15,32871.62010461525,87
16,34213.849667260976,90
17,30460.53469454334,87
18,31095.663319357936,84
19,30986.17652150916,86
20,30681.995009335606,86
21,34307.685971308376,82
22,38497.67382515074,92
23,35940.764341449816,89
24,37872.08459861506,94
25,31586.777275122105,85
26,31142.197751031974,90
27,32785.98736204069,88
28,36665.81144907935,92
29,36883.3646753158,90
0,28715.84324320441,81
1,31833.35040948962,84
2,35253.187759584005,87
3,32517.86250355512,92
4,31158.16315383089,88
5,29237.69813553609,81
6,33824.172544251924,86
7,34629.36217310514,86
8,32312.94029663344,87
9,34381.47178295205,89
10,34611.92213625422,89
11,33261.145919101196,88
12,30105.53587060844,88
13,33260.639970280055,93
14,31313.80897949272,84
15,37477.83067371499,87
16,35813.91531817767,88
17,31610.864168450018,86
18,29524.108100736114,81
19,37480.18403008669,90
20,31714.87117342904,88
21,34430.99399609157,83
22,31362.827930311112,83
23,34833.92377359944,89
24,36246.54370368342,93
25,33501.524359583156,88
26,33550.12755642571,87
27,35954.39213068934,85
28,34994.52587661721,89
29,30251.68634038496,83
