,100,num_discovered_nodes
0,23632.613711084658,50
1,26180.731494177606,50
2,31474.957055148243,49
3,26598.47243556586,49
4,25758.42621768164,49
5,26886.655584919787,49
6,24806.610300194792,49
7,22468.425808834207,50
8,22129.524357572627,50
9,25400.828856576012,50
10,26247.011908157514,50
11,23594.009218037198,49
12,28885.611879465097,50
13,25778.359101707978,50
14,25719.309022477395,50
15,25203.88146520952,50
16,26169.0060296826,49
17,24469.94416645055,50
18,24270.022591972778,50
19,25640.55901034591,49
20,24626.13671348895,50
21,25231.798196043823,50
22,23041.847592660433,49
23,23506.906034295513,50
24,26108.15800297773,49
25,28604.674225639268,49
26,22504.049740978968,50
27,24915.324858301276,49
28,27656.09384747667,50
29,22258.007065365284,50
0,26318.488307215375,49
1,22477.827794320132,50
2,22616.11646937617,49
3,21806.396874070688,49
4,27600.372454072578,50
5,25763.162437822783,49
6,24869.937923443875,48
7,27700.22736169268,49
8,26146.629540606715,50
9,26078.81197572491,49
10,24283.957143700856,50
11,23152.472663837823,49
12,26086.881594490646,49
13,23323.37091520039,50
14,25207.139214304807,49
15,28384.674035900072,50
16,23754.456647066214,50
17,24776.907438544564,50
18,25503.587488804376,50
19,24106.834416337093,50
20,26366.413672631395,50
21,27056.5639769468,49
22,28159.10654552804,48
23,25657.219364968983,50
24,27335.830404509692,50
25,24048.29472873397,50
26,21424.983874244488,48
27,23095.613546048775,50
28,23936.842493671,50
29,25098.816524770293,50
0,26152.24823805023,50
1,23215.636171131402,50
2,21479.470597626714,49
3,23646.585743093812,50
4,24896.67747949271,50
5,22650.678402464575,50
6,22184.885562763462,50
7,24474.155379478245,50
8,22923.022536336353,50
9,24712.70585080767,50
10,25111.419061936613,50
11,24597.959070136287,50
12,23876.90931269674,50
13,24759.91776658765,50
14,23028.299313249267,50
15,23744.89396203061,49
16,25574.003438539356,50
17,24080.844740253957,49
18,23912.353865057732,50
19,22934.582743680003,49
20,27094.86768868236,50
21,24824.64160459034,50
22,22325.559470720465,49
23,23259.50197683098,50
24,24325.85493730285,50
25,25391.33996514942,49
26,25885.428901999137,50
27,24163.306055223667,49
28,21631.30735745434,49
29,20693.851300503913,50
0,23168.414336432284,50
1,22319.501287876104,49
2,22571.58461251851,49
3,30832.656434896795,50
4,24809.969075240566,49
5,24505.7672916571,50
6,27271.880670036215,49
7,26306.466304070378,48
8,28145.14202409709,50
9,23484.65392428661,50
10,27099.044841350977,50
11,25210.86169202188,50
12,27630.1009274268,50
13,24900.79562336353,49
14,24748.845435495332,49
15,30868.311450003916,49
16,22918.7991495217,50
17,26845.906939202217,49
18,24488.95138364397,49
19,22901.384762681148,50
20,23403.946568745407,50
21,23359.349298373672,49
22,24819.891097839936,49
23,25868.599693292632,49
24,23758.88691643532,49
25,22209.11262677133,48
26,24457.008214352598,50
27,25653.932670474638,49
28,22840.719754648704,49
29,26049.29500183817,50
