,meters
p62,26695
p63,29755
p64,27027
p65,21798
p66,25745
p67,35479
p68,33644
p69,30330
p70,23343
p71,24732
p72,25006
p73,26993
p74,31835
p75,26416
p76,28319
p77,23866
p78,24869
p79,31237
p80,29560
p81,32841
