,0.5
0.0,33681.31073864337
1.0,36048.87818286754
2.0,34059.32602132822
3.0,34991.97240193288
4.0,37430.45582865337
5.0,33981.00352452003
6.0,33117.32498353154
7.0,35445.18248164777
8.0,35422.52331914396
9.0,34895.70940624844
10.0,33728.833900170095
11.0,34492.293261638835
12.0,38215.96158659799
13.0,37361.30932803352
14.0,35361.886465098265
15.0,35465.57000080792
16.0,33298.215020723575
17.0,36919.33914453163
18.0,34732.630760701984
19.0,34434.82812942641
20.0,34174.75523104916
21.0,34016.16268834279
22.0,34441.31060868806
23.0,36388.75408070766
24.0,32698.072462645327
25.0,33594.85896968276
26.0,33450.74579330538
27.0,34707.39465159765
28.0,33641.23143962564
29.0,35013.688271113104
0.0,32313.475117809307
1.0,35337.029808927866
2.0,33688.918722902985
3.0,34566.18589314419
4.0,35198.818535671715
5.0,34316.85556250399
6.0,33955.28526561735
7.0,35154.57336085623
8.0,33396.2310768504
9.0,33895.8639677646
10.0,35872.85644161853
11.0,32924.78446002873
12.0,32693.186395619097
13.0,36269.42975811968
14.0,34562.451547816
15.0,33970.76635972907
16.0,33545.516642277486
17.0,34072.911307354494
18.0,34305.68216030234
19.0,34232.03290228365
20.0,33254.126890332635
21.0,36281.24703536139
22.0,38268.03402043023
23.0,33576.5219368217
24.0,33501.356011485455
25.0,33304.69482854614
26.0,35211.032359094344
27.0,32710.414974988682
28.0,38456.987000562265
29.0,34150.80474299614
0.0,32852.86477192443
1.0,35518.32438450031
2.0,33208.946915523426
3.0,36370.70971862104
4.0,33985.979103240024
5.0,35430.29158445446
6.0,36643.149087589416
7.0,34762.60515907564
8.0,34387.806671782884
9.0,32830.409378625336
10.0,35733.903632679
11.0,34034.336969549295
12.0,33468.122671528254
13.0,33523.337190238904
14.0,35475.829082846314
15.0,35118.61881959268
16.0,35043.16751805792
17.0,35335.52232905784
18.0,34426.27143378334
19.0,33013.95305431872
20.0,34848.28764443227
21.0,39792.37352475482
22.0,36426.86343338179
23.0,34204.747193526586
24.0,34067.591568880714
25.0,33251.542725567015
26.0,33924.25152579665
27.0,34455.476303472235
28.0,33751.957200591634
29.0,33989.534809053825
0.0,34230.14851759869
1.0,36774.68089004169
2.0,32636.46203662228
3.0,32468.869370625707
4.0,32203.997905478373
5.0,35886.57664262652
6.0,32209.602481758244
7.0,34022.476767473665
8.0,36298.028896825286
9.0,33064.82602636748
10.0,32517.256180200307
11.0,37115.96325125223
12.0,37077.16932560143
13.0,36294.36644136116
14.0,34589.958029738
15.0,35274.18184239475
16.0,35315.258168152446
17.0,33735.769927780646
18.0,35356.117444510186
19.0,32336.413937912494
20.0,34741.53865203728
21.0,34687.561969564435
22.0,34917.810605150735
23.0,32649.7080147412
24.0,37224.028776336985
25.0,35486.026035818184
26.0,33708.63160522431
27.0,36093.07501406277
28.0,38342.80238963636
29.0,35536.17179248694
