distance,distribution,trigger,dod,instance_name
34061.46545388855,C,endogenous,0.25,p101
32084.151079098814,C,endogenous,0.25,p101
34926.392823311784,C,endogenous,0.25,p101
34913.0796517473,C,endogenous,0.25,p101
34174.632319304576,C,endogenous,0.25,p101
33255.11314275722,C,endogenous,0.25,p101
36889.786575531136,C,endogenous,0.25,p101
36041.541513815784,C,endogenous,0.25,p101
33082.474709413764,C,endogenous,0.25,p101
34792.274964786186,C,endogenous,0.25,p101
34822.883177788965,C,endogenous,0.25,p101
33481.775441245765,C,endogenous,0.25,p101
36396.4375453698,C,endogenous,0.25,p101
32450.304037753758,C,endogenous,0.25,p101
34163.926121197335,C,endogenous,0.25,p101
35543.09580581936,C,endogenous,0.25,p101
36102.61301995118,C,endogenous,0.25,p101
34911.1558321617,C,endogenous,0.25,p101
34408.39394389669,C,endogenous,0.25,p101
35597.633842799165,C,endogenous,0.25,p101
35906.28396022607,C,endogenous,0.25,p101
36689.847769712025,C,endogenous,0.25,p101
33474.07816762384,C,endogenous,0.25,p101
32491.944029378818,C,endogenous,0.25,p101
35903.769417107615,C,endogenous,0.25,p101
36174.30171194853,C,endogenous,0.25,p101
35469.495170493574,C,endogenous,0.25,p101
34679.52997565317,C,endogenous,0.25,p101
36443.30071724398,C,endogenous,0.25,p101
35120.30149303033,C,endogenous,0.25,p101
35672.85878594958,C,endogenous,0.25,p101
33776.434961018465,C,endogenous,0.25,p101
37633.92437316293,C,endogenous,0.25,p101
33059.374113094666,C,endogenous,0.25,p101
33965.82869326873,C,endogenous,0.25,p101
33145.304099052024,C,endogenous,0.25,p101
35706.230904279684,C,endogenous,0.25,p101
34155.010714289194,C,endogenous,0.25,p101
34948.708836291524,C,endogenous,0.25,p101
33060.2259680942,C,endogenous,0.25,p101
32407.386340722358,C,endogenous,0.25,p101
32808.580293701634,C,endogenous,0.25,p101
34512.90087586104,C,endogenous,0.25,p101
36106.7626459251,C,endogenous,0.25,p101
35526.30212233065,C,endogenous,0.25,p101
37716.20408529496,C,endogenous,0.25,p101
34213.07454281922,C,endogenous,0.25,p101
37178.10087801154,C,endogenous,0.25,p101
35424.39140861454,C,endogenous,0.25,p101
36202.58053231332,C,endogenous,0.25,p101
34328.520294494534,C,endogenous,0.25,p101
35565.831945343714,C,endogenous,0.25,p101
34995.812851060786,C,endogenous,0.25,p101
35827.157875077435,C,endogenous,0.25,p101
35803.16144255085,C,endogenous,0.25,p101
37623.81883415139,C,endogenous,0.25,p101
35263.882485131486,C,endogenous,0.25,p101
32299.318907157147,C,endogenous,0.25,p101
34072.20579832877,C,endogenous,0.25,p101
34254.72092122942,C,endogenous,0.25,p101
37841.2612404297,C,endogenous,0.25,p101
33024.07191713338,C,endogenous,0.25,p101
36291.66402748514,C,endogenous,0.25,p101
