,distance,num_discovered_nodes,distribution,trigger,dod,visibility,instance_name
0,1025.5725353836187,0.8676814786886863,C,endogenous,0.25,100,p100
1,1028.1925974549215,0.42472597855881816,C,endogenous,0.25,100,p101
2,1189.6167489031263,0.44407080466049664,C,endogenous,0.25,100,p82
3,830.842827284075,0.5265366999161056,C,endogenous,0.25,100,p83
4,684.655286950311,0.47071076836097664,C,endogenous,0.25,100,p84
5,930.6778873407933,0.5940885257860047,C,endogenous,0.25,100,p85
6,815.6781194579988,0.6479876196209873,C,endogenous,0.25,100,p86
7,973.2829529738372,0.9400816461353554,C,endogenous,0.25,100,p87
8,618.0235009012857,0.0,C,endogenous,0.25,100,p88
9,1097.7953326068493,0.43955350403923044,C,endogenous,0.25,100,p89
10,1115.327620206574,0.0,C,endogenous,0.25,100,p90
11,1004.6650339779048,0.5833833511969491,C,endogenous,0.25,100,p91
12,953.3930774441965,0.40167715620274774,C,endogenous,0.25,100,p92
13,894.6869740634045,0.4525062483125565,C,endogenous,0.25,100,p93
14,1366.587830395017,0.0,C,endogenous,0.25,100,p94
15,1378.0509657607058,0.3815602643018771,C,endogenous,0.25,100,p95
16,1438.9056757324454,0.0,C,endogenous,0.25,100,p96
17,731.7011973558621,0.5963826530907498,C,endogenous,0.25,100,p97
18,648.5168185360004,0.6212281140997226,C,endogenous,0.25,100,p98
19,834.4088726928974,0.41933320418785575,C,endogenous,0.25,100,p99
20,1387.2886396355761,3.6950928925527484,C,endogenous,0.25,10,p100
21,1511.4500422144963,3.6331804249169894,C,endogenous,0.25,10,p101
22,1663.389537205252,3.4921280021203804,C,endogenous,0.25,10,p82
23,1432.3210950554258,3.645303182743192,C,endogenous,0.25,10,p83
24,1352.3051622447158,3.7144580869289427,C,endogenous,0.25,10,p84
25,1605.1945201300045,3.5206374359172616,C,endogenous,0.25,10,p85
26,1445.5579044345945,3.7570102542340984,C,endogenous,0.25,10,p86
27,1913.4988544856749,3.753233899703342,C,endogenous,0.25,10,p87
28,1181.4728148461184,3.559960579519257,C,endogenous,0.25,10,p88
29,2055.319514870031,3.8557679881849074,C,endogenous,0.25,10,p89
30,2458.744395932172,3.79779532093554,C,endogenous,0.25,10,p90
31,1271.4598973720174,3.449018453316323,C,endogenous,0.25,10,p91
32,1593.6646694378483,3.7758539205233634,C,endogenous,0.25,10,p92
33,1384.5739676277306,3.960413355898577,C,endogenous,0.25,10,p93
34,2201.0673926264617,3.67662576703318,C,endogenous,0.25,10,p94
35,2617.887022866201,3.894800095911839,C,endogenous,0.25,10,p95
36,2201.2156978856488,3.502450122806189,C,endogenous,0.25,10,p96
37,1235.023580609485,3.2011902548300766,C,endogenous,0.25,10,p97
38,1103.880108927407,3.599710150174054,C,endogenous,0.25,10,p98
39,1357.6845721169555,3.9600154910146044,C,endogenous,0.25,10,p99
40,1488.1418858618472,3.662972419603881,C,endogenous,0.25,15,p100
41,1674.9244104689135,3.954565138441098,C,endogenous,0.25,15,p101
42,1625.1731319219632,3.46287837075521,C,endogenous,0.25,15,p82
43,1402.7687139383243,3.420608165822217,C,endogenous,0.25,15,p83
44,1260.1805309103493,3.2860689736704978,C,endogenous,0.25,15,p84
45,1485.7642755910824,3.098917765370134,C,endogenous,0.25,15,p85
46,1284.9804479910395,3.3150936545406005,C,endogenous,0.25,15,p86
47,1644.6829102872262,3.1886967737378136,C,endogenous,0.25,15,p87
48,1334.8618956238006,3.7113555022209264,C,endogenous,0.25,15,p88
49,2099.6164894371095,2.955268760261603,C,endogenous,0.25,15,p89
50,1888.2959261773929,2.7668379346941783,C,endogenous,0.25,15,p90
51,1368.2218800323503,3.719045915420836,C,endogenous,0.25,15,p91
52,1575.4420714902867,3.486819921542564,C,endogenous,0.25,15,p92
53,1244.8575602887786,3.2736855082189367,C,endogenous,0.25,15,p93
54,2543.580722062657,3.672709560829346,C,endogenous,0.25,15,p94
55,2856.3006321368775,2.9412549009150597,C,endogenous,0.25,15,p95
56,2273.4042333538505,2.9703365397987924,C,endogenous,0.25,15,p96
57,1196.0035287518053,3.2060866483360435,C,endogenous,0.25,15,p97
58,1195.04380010568,3.580516448672689,C,endogenous,0.25,15,p98
59,1478.6755061482245,2.5485619606411167,C,endogenous,0.25,15,p99
60,720.4970547162154,1.2115226431420663,C,endogenous,0.25,1,p100
61,770.3506053770573,1.4927462331309396,C,endogenous,0.25,1,p101
62,949.2835388709353,1.6525805302506702,C,endogenous,0.25,1,p82
63,876.7146456318374,1.6902877947650365,C,endogenous,0.25,1,p83
64,853.4945086165732,2.047338916412098,C,endogenous,0.25,1,p84
65,975.3121609968405,1.9613742109852996,C,endogenous,0.25,1,p85
66,752.4742827561853,1.9139580178566213,C,endogenous,0.25,1,p86
67,1114.4887450540086,1.8768828081769655,C,endogenous,0.25,1,p87
68,702.8044010621818,1.770913451804326,C,endogenous,0.25,1,p88
69,1351.6861939472751,2.0464494086277405,C,endogenous,0.25,1,p89
70,1276.5079403385612,1.8615225237537625,C,endogenous,0.25,1,p90
71,850.1480021255467,1.8588120057792643,C,endogenous,0.25,1,p91
72,885.6301550659017,1.584037142704611,C,endogenous,0.25,1,p92
73,834.7238034546325,1.4931214835725466,C,endogenous,0.25,1,p93
74,1529.9332927598161,2.199821739658583,C,endogenous,0.25,1,p94
75,1714.2728388142364,1.980984532975448,C,endogenous,0.25,1,p95
76,1440.2576758271548,2.2633203590342763,C,endogenous,0.25,1,p96
77,823.5799444696563,2.1692884374674497,C,endogenous,0.25,1,p97
78,742.2484240222083,1.9724822621534024,C,endogenous,0.25,1,p98
