,distance,num_discovered_nodes
0,28620.08529586672,150
1,31444.260103575663,150
2,29454.568629041678,150
3,29877.97322453142,150
4,29326.795575826865,150
5,29626.06845781986,150
6,31366.550049868496,150
7,29767.753800157618,150
8,30451.668569362355,150
9,30166.12219714553,150
10,30129.098857826877,150
11,31528.121670470377,150
12,29593.767875425416,150
13,29462.05433240903,150
14,29929.15813018307,150
15,29249.924952615533,150
16,29563.591488752463,150
17,30488.793882552178,150
18,29214.40803593998,150
19,29510.831527332357,150
20,30139.150121039005,150
21,28997.244985011082,150
22,29862.593904307123,150
23,29582.510613885202,150
24,31698.459279562274,150
25,28721.5954944833,150
26,30294.47253397683,150
27,28769.502453579615,150
28,29400.65041556086,150
29,29892.69860067903,150
30,30816.19987673157,150
31,30521.813802657354,150
32,29416.222543155123,150
33,29676.8821976157,150
34,28862.09986053423,150
35,30496.090901769945,150
36,30013.96935941446,150
37,30732.679351060946,150
38,28927.118117546554,150
39,29176.29106743943,150
40,31018.288446573453,150
41,29076.530364706927,150
42,29553.777803606703,150
43,30112.07989890632,150
44,29582.33510116038,150
45,30163.784081542337,150
46,31081.040851897018,150
47,28970.092347098303,150
48,28843.889199711768,150
49,29718.212865362195,150
50,29356.856897121328,150
51,29709.188042161946,150
52,29047.756437748867,150
53,29037.889639549096,150
54,30130.51025982244,150
55,29605.84452664705,150
56,28969.80843434433,150
57,30581.12141596528,150
58,29296.967794355583,150
59,29435.407732227715,150
60,30125.679298081584,150
61,29637.48727906952,150
62,29895.58894956386,150
63,29708.646572742902,150
64,28959.229152684387,150
65,30499.03282242642,150
66,29747.281637469936,150
67,28832.11940158545,150
68,30921.48702076182,150
69,30926.07982646806,150
70,29623.107372305276,150
71,29181.714159900825,150
72,28729.25104814079,150
73,31224.760841997937,150
74,29792.018093040773,150
75,28901.782859588777,150
76,28901.02940335239,150
77,29584.395510930408,150
78,29770.15882587621,150
79,29721.937464818064,150
80,28915.03659188292,150
81,29326.968934108696,150
82,29865.381247799967,150
83,28985.59571769666,150
84,30193.723791279146,150
85,29164.69806868333,150
86,29603.338245865667,150
87,29473.424922097984,150
88,28336.192195962994,150
89,29330.133039947028,150
90,28929.516868741284,150
91,28865.3443140374,150
92,30568.0812010335,150
93,30349.867274664804,150
94,31275.687476090367,150
95,28231.246285653662,150
96,29036.86384126264,150
97,29445.72480395736,150
98,30467.57880460744,150
99,29507.588730749467,150
100,28559.990885931296,150
101,29389.50087719972,150
102,29986.321654391093,150
103,28857.644641016977,150
104,29466.520875160473,150
105,30496.60163746919,150
106,29333.71718211759,150
107,29564.105839705477,150
108,28077.50732281182,150
109,28912.53379320226,150
110,30495.176063058254,150
111,30758.060721135414,150
112,30267.247984823705,150
113,29878.475623772378,150
114,30160.001894811718,150
115,30676.731132619934,150
116,29989.92087403704,150
117,29865.80406389647,150
118,30338.542781925993,150
119,29171.694659738616,150
