,distance,num_discovered_nodes
0,45729.264697852544,150
1,39578.708439369766,150
2,46822.3633137137,150
3,45712.87337294817,150
4,45017.56636982484,150
5,42701.01315863534,150
6,43800.257557259494,150
7,44165.290009988596,150
8,44774.59486406325,150
9,44789.985722380705,150
10,47675.44201895055,150
11,46604.333087121726,150
12,48663.68995214584,150
13,45362.05034374479,150
14,43518.60048517846,150
15,45915.97762165185,150
16,47323.70957552641,150
17,47584.2450751885,150
18,46118.40295392497,150
19,46043.314766988915,150
20,46192.080848561505,150
21,44603.63661028867,150
22,44393.683194321646,150
23,48830.34195491961,150
24,44369.642698278854,150
25,48118.43518290001,150
26,45320.909442016506,150
27,40665.46311275444,150
28,42362.698787519344,150
29,42941.6622305742,150
30,47597.11665505781,150
31,44486.07970877893,150
32,47776.79068807752,150
33,46989.79591826423,150
34,47092.82720919296,150
35,49401.989851718616,150
36,44711.3261206178,150
37,49492.14463060474,150
38,44744.368386635746,150
39,44091.965223002044,150
40,47323.37303429667,150
41,44406.95165316342,150
42,47473.806600346616,150
43,44126.334947056595,150
44,43397.74120535855,150
45,46387.94257035643,150
46,44268.810545152504,150
47,46654.23890325954,150
48,41241.50901106784,150
49,45000.670430779,150
50,44799.22515039274,150
51,48720.19950897798,150
52,44563.10357411739,150
53,46987.721023761565,150
54,43647.98360008951,150
55,48156.43600260164,150
56,45315.08780541683,150
57,45849.68380929737,150
58,44397.303856098144,150
59,43970.97495780702,150
60,44546.90764714102,150
61,47732.38077584041,150
62,48354.09525119258,150
63,46001.59899980238,150
64,50088.54961585781,150
65,46249.363019067234,150
66,46863.75729088887,150
67,45816.90935549471,150
68,41700.94437155457,150
69,45044.44535256626,150
70,43651.27503425508,150
71,45154.02292099933,150
72,44021.64090880342,150
73,45634.65159651501,150
74,46605.09105949146,150
75,47321.36695804895,150
76,43260.05969875302,150
77,45118.51948633204,150
78,43122.95671359319,150
79,45401.85332737101,150
80,44536.59155740587,150
81,42893.751493358985,150
82,46397.4573639412,150
83,45767.518923045456,150
84,43419.28781806529,150
85,46077.705303674804,150
86,46788.70045815148,150
87,47281.80699163091,150
88,46499.56326145426,150
89,42290.625803397284,150
90,43796.277086892085,150
91,46527.65519666951,150
92,41698.41358870788,150
93,45019.166086782,150
94,45068.94861414522,150
95,45075.71396460081,150
96,45565.85361868781,150
97,45692.9414954323,150
98,49049.55282865097,150
99,41937.97003205243,150
100,44463.55350086767,150
101,45237.6904096438,150
102,44804.63280241804,150
103,47813.71864313587,150
104,45869.91389811407,150
105,44924.20379980715,150
106,43611.55133639209,150
107,42529.9968154388,150
108,45304.0076475733,150
109,46114.316832886456,150
110,48284.916832691364,150
111,45985.46243401711,150
112,43906.72608705062,150
113,48764.69384764828,150
114,41342.864262587966,150
115,47140.87530375913,150
116,48092.21790939115,150
117,48775.360580084685,150
118,44149.69438515505,150
119,48855.41730908719,150
