,20,num_discovered_nodes
0,46537.146516339824,91
1,39387.57430497591,78
2,41546.72463009685,89
3,47033.9590194286,80
4,40593.650107868554,78
5,43134.46477089655,81
6,51663.1751492552,95
7,38304.9251283992,76
8,37534.053430153304,82
9,38305.33328342718,84
10,54391.805922434294,89
11,39507.95428694423,83
12,42549.00975158705,90
13,33430.206094908484,68
14,39570.81772819507,87
15,47383.78690702757,77
16,33828.57493307379,68
17,48155.06320690995,78
18,30988.83242374484,53
19,36767.5749894374,73
20,42599.32331245647,91
21,37861.15663896759,80
22,34050.81376181752,67
23,34562.537925813085,73
24,41228.72923250662,81
25,50000.38424602241,82
26,39900.79465341692,81
27,40805.8323857202,78
28,33961.35134048978,72
29,49814.34808762065,108
0,44498.58944252998,80
1,48545.15623760413,91
2,33733.859473901946,65
3,36801.00982280204,75
4,44793.32633489953,86
5,35164.75595474915,70
6,50714.100632921945,87
7,42434.82101498126,86
8,38573.09400692405,73
9,49742.31417381717,98
10,35754.0526475934,70
11,43203.171653050274,80
12,46861.041201829765,91
13,36989.412708727796,83
14,50780.73498064734,86
15,35446.3055791419,72
16,43181.07530537198,87
17,45956.290908164294,85
18,32866.369081358025,71
19,40108.409057766905,80
20,47302.364028148506,84
21,40366.45055414006,83
22,45367.40992438592,84
23,48055.44440891129,83
24,29506.431080876067,61
25,47121.39086455815,90
26,47801.75559515839,95
27,48171.79826751888,95
28,43337.649363153294,78
29,44686.659337284786,85
0,37955.25818645653,77
1,44056.267512764534,92
2,35207.44342815389,66
3,40128.74196622528,75
4,35559.10511992698,76
5,38955.23757771324,74
6,28190.932312016856,66
7,46849.4824003026,94
8,48824.89990729207,91
9,43941.64526981444,82
10,43009.57376867409,85
11,40278.09783354705,79
12,38062.81042289974,75
13,39441.518412082216,83
14,47943.87468891146,91
15,42721.82416403023,89
16,42457.21977967903,95
17,43779.046465859225,78
18,39460.90399893034,80
19,40898.58245572413,85
20,35375.57629461954,77
21,38096.702320342796,68
22,35684.66740300354,74
23,46616.59956139423,99
24,43582.77652730549,84
25,48237.918972953936,91
26,46158.88473701244,88
27,35751.48030158292,67
28,59027.29384557903,100
29,45327.80109137592,84
0,42110.59032294245,82
1,41134.94327443684,77
2,41099.65807333747,80
3,40975.650101771185,82
4,40333.101513107715,84
5,30180.818059617584,68
6,46988.37998837939,94
7,45514.869298276106,93
8,40136.53527864123,80
9,40055.87619377887,85
10,35462.96722332351,67
11,44197.46212431941,83
12,43285.460684043304,82
13,33904.939101666205,66
14,42588.7422251332,87
15,49759.452974903434,94
16,39940.22254630836,81
17,35224.69344818259,72
18,37731.00807769024,81
19,34494.61519516495,76
20,49606.98559831885,94
21,47778.40867922049,95
22,46293.67877516836,87
23,42463.01367386972,81
24,30476.824965285734,73
25,44204.35351592611,96
26,47836.51305454936,95
27,42155.30078846065,79
28,41202.84964426987,82
29,47332.56282378045,92
