,100,num_discovered_nodes
0,36238.71219183386,50
1,37075.174339830664,50
2,38794.95365538627,50
3,38134.538837395135,50
4,38971.59033714751,50
5,39896.08199459333,50
6,38841.37961948038,50
7,37574.935079150004,50
8,41645.3983913521,50
9,38953.76324667232,50
10,38487.55705201015,50
11,38888.101131689196,50
12,38713.783125333386,50
13,38808.34645318805,50
14,39049.57174912435,50
15,40947.267468022,50
16,38931.59504837003,50
17,39128.06568718673,50
18,39854.10015001751,50
19,38504.89327551025,49
20,39427.50715466493,50
21,37728.07838274417,50
22,39003.23289807625,50
23,38922.43651008472,49
24,39153.52244233863,50
25,39161.20674804015,50
26,38283.084723348744,50
27,38889.96760380871,50
28,39630.02564389621,50
29,37465.43329627726,50
0,38232.5107185435,50
1,37807.760554703236,50
2,40881.76391136905,50
3,37040.45107059476,50
4,37787.808757486615,50
5,38574.42877504363,50
6,37334.288916388454,50
7,39633.21965533183,50
8,38341.09416147235,50
9,38632.722222175194,50
10,38867.38233609845,50
11,37862.90872592517,50
12,40117.33025815429,50
13,40386.08418808032,50
14,39339.91586826748,49
15,37006.07874482028,50
16,39824.87640649199,50
17,38911.67717553819,50
18,40008.747733639764,50
19,37373.449440705204,50
20,37799.94373547264,50
21,38765.709849932384,50
22,39249.00138666672,50
23,38231.87533921836,50
24,38996.089449913794,50
25,39313.9223831809,50
26,38885.77405920943,48
27,36892.067480899525,50
28,38033.76742205583,50
29,39831.0733606047,50
0,40587.26314840085,50
1,36952.55219881812,50
2,40002.74245933452,50
3,40369.1371575043,50
4,39479.58986944626,50
5,38802.59308417108,50
6,41019.10535325783,49
7,38680.5947727447,49
8,36896.42014236408,47
9,36847.83795261202,50
10,37563.896239787944,50
11,38091.16431965438,50
12,39148.567451778435,50
13,39130.39869456789,50
14,40558.71552291593,49
15,38748.48907953766,50
16,38070.09409293763,50
17,38059.29561429305,50
18,39054.07494805472,50
19,40442.306933707245,50
20,39214.68243943458,49
21,37597.47219011112,50
22,39397.01542916133,50
23,38984.3697139182,50
24,38668.92101458262,50
25,40209.43756138511,50
26,38091.65517670801,50
27,39045.13213746567,49
28,36924.389325285636,50
29,37557.68552473901,50
0,37381.55721051038,48
1,38488.52492110656,50
2,39799.322169703104,50
3,42758.78202147407,50
4,38565.96609469057,49
5,38305.522315185466,50
6,38609.72675725127,50
7,37177.33688254182,50
8,37505.96581622405,50
9,38896.074589332515,50
10,37790.653899659264,50
11,41148.304714846294,50
12,40967.308234588214,50
13,39748.484037902796,50
14,41173.67073385753,50
15,37924.70625186407,50
16,37827.768767678834,50
17,40341.24515070508,50
18,39928.149886243824,50
19,38327.44387584798,50
20,40005.571908350925,50
21,40645.262540937,50
22,40879.36349051306,50
23,39623.26900984019,50
24,40393.79696854367,50
25,40509.877032312426,50
26,41381.54661199307,50
27,38218.84055786156,50
28,41788.22389036869,50
29,37234.032708271036,50
