,5,num_discovered_nodes
0,19183.995910373676,20
1,20551.893957915945,27
2,17601.26192389687,16
3,18106.37326490518,16
4,18595.22675691071,14
5,17940.055188165647,13
6,16160.395465020714,13
7,20337.15246668264,21
8,18202.376513822353,17
9,19869.093885907554,18
10,20810.531940260917,23
11,16006.075051080521,10
12,19364.901623131398,19
13,16755.84814417876,17
14,19276.742961413882,18
15,18490.24230890263,14
16,19129.061549411887,24
17,19378.913605416394,21
18,19298.99866366828,24
19,21199.09877707072,25
20,22089.582034486957,25
21,19329.282520773104,19
22,18425.415307292504,20
23,19272.386556633533,23
24,22795.526003482457,22
25,20074.535938081226,21
26,22283.388631382564,27
27,18509.459454967204,20
28,16748.646382870193,13
29,19717.441990999432,25
0,20614.97922539321,25
1,17554.081796022874,19
2,21197.075694601222,18
3,18960.502611480482,20
4,17702.45637146134,18
5,19817.54933300833,21
6,17698.611218281912,16
7,16358.077176732799,11
8,18787.124590575095,15
9,21344.204255167613,26
10,19507.202728351647,19
11,17588.37551089056,19
12,17089.61430170706,13
13,20338.697597084058,19
14,18492.169364702484,21
15,17403.16179117247,17
16,17605.229745473036,13
17,19629.57927695702,20
18,17904.168698616817,16
19,16720.888155130346,16
20,21729.811697939895,25
21,17915.13700992221,15
22,20962.04812527705,23
23,18679.535508034693,17
24,18965.605188386617,19
25,17055.93678541082,12
26,20157.330376557275,21
27,18869.467887168987,19
28,20057.856027749887,19
29,18295.41445113443,13
0,19224.106336140478,19
1,17627.486514966797,11
2,19764.139784967145,22
3,16437.744165636574,10
4,16380.54550981591,14
5,16432.134692898544,15
6,19026.78219355443,22
7,19244.496288505434,25
8,19966.484517442812,17
9,17894.489382959226,19
10,18477.93012527778,15
11,17720.329943327866,16
12,18791.369705543362,24
13,17038.632171335426,15
14,20268.905910075544,23
15,18861.08206150173,21
16,17245.254406309807,16
17,17803.365059135696,20
18,17897.830594060793,16
19,16703.460778288187,15
20,19654.07633989417,16
21,17858.086527804815,12
22,18165.443362129623,17
23,15865.01517534715,14
24,21106.17153396044,19
25,16074.250630752307,15
26,21871.966949552545,20
27,19078.146839719142,20
28,19573.77992621215,24
29,18741.086342677525,20
0,21182.55158064733,25
1,18946.019560281333,18
2,18947.984853607806,19
3,19470.590474513978,26
4,15630.497123185667,11
5,19336.169750403198,18
6,18662.862714715033,18
7,18159.62284013894,15
8,18684.35785968955,14
9,21513.617929468975,26
10,23047.574791256233,26
11,16885.195593104356,15
12,20045.03925422538,20
13,20922.085546073555,26
14,17274.378076556543,15
15,20484.15547412552,24
16,19140.197019524825,15
17,17999.676044189895,18
18,20880.88821927434,20
19,17632.739214231937,17
20,18597.94003582469,22
21,17929.142165051715,16
22,19811.368243480847,16
23,20599.285831239904,24
24,20481.780615838135,20
25,19193.081531380605,20
26,18920.027849932198,17
27,16747.85529834066,15
28,18494.42584603152,13
29,21479.96723881072,28
