,40,num_discovered_nodes
0,32513.72307676862,45
1,32978.12356835575,47
2,32526.27323019184,46
3,29265.386525548827,39
4,29973.785056113447,44
5,32058.4428867094,44
6,32542.538950189195,44
7,32951.44324297673,45
8,34028.63823723946,43
9,35020.280819213694,48
10,31094.607206113225,42
11,30113.768356518827,36
12,30572.55090107323,40
13,32463.806589042295,44
14,35756.83933270657,45
15,31880.586474463063,45
16,31181.038902998553,43
17,33562.96487237894,42
18,35225.47230797476,48
19,28764.29310560178,44
20,33909.48183959918,44
21,31518.346904339713,40
22,31997.859744284287,44
23,32462.087429120827,46
24,34470.819973800746,44
25,33005.783967519594,45
26,31924.49373185281,42
27,34047.55299932473,46
28,32495.28480164139,45
29,31644.71036546069,41
0,33736.503481744636,48
1,32518.90869945254,44
2,33631.119291546216,47
3,32296.81624835418,41
4,35856.837004112036,46
5,30884.172651036693,45
6,33765.29329614298,45
7,30543.005629568353,43
8,33837.71023451784,46
9,31053.21263728409,44
10,30980.8093018645,46
11,31009.038849656874,46
12,32812.53358218405,44
13,30871.89188796839,39
14,32437.718108146488,46
15,32005.542706044147,40
16,32767.65010455466,41
17,32874.307606139715,45
18,29893.947151385782,44
19,31971.294401080326,49
20,33005.90269945609,43
21,32218.60672914119,46
22,30609.50145503161,41
23,32398.378746473507,48
24,31528.818772064245,43
25,31634.89338387438,40
26,32548.033405411134,47
27,32677.019917443326,48
28,35471.71866059915,48
29,33970.81158529268,45
0,34436.96466123014,47
1,31782.90379155092,44
2,30698.41468443465,42
3,32037.82616313286,43
4,31497.180859638,43
5,30557.824229072663,43
6,30926.46576436266,47
7,34815.34068039307,43
8,32616.417633771864,42
9,35860.21255224643,46
10,31169.618950992946,45
11,31150.202101894312,44
12,35050.9051065007,46
13,33104.53125122412,46
14,39272.37132234564,45
15,33416.22590642046,42
16,31375.85754376771,44
17,33332.74403406202,46
18,30863.70360746652,44
19,34312.68607496544,46
20,34802.06506643489,46
21,31271.648103647472,46
22,33120.4528204486,46
23,32109.579949435654,42
24,34115.26000092109,47
25,34047.51491039972,46
26,30882.68305543506,41
27,33825.62814918906,46
28,30871.700572847803,43
29,33127.24419229301,45
0,35071.99774584048,47
1,32952.7364455698,44
2,32810.58100138102,43
3,32763.489498669012,44
4,32591.520902139073,46
5,32943.67317844891,46
6,30573.159900222083,46
7,33839.5415266695,47
8,32644.857285253092,48
9,31370.96515163726,47
10,32549.503015880866,43
11,31495.939555018045,45
12,32432.917164630522,41
13,31073.447570234854,43
14,31525.26759339809,44
15,33352.9737110416,44
16,33301.20975393743,45
17,34519.556440252,46
18,30756.33417684171,40
19,30979.58781013282,42
20,31578.797157369314,44
21,33758.29105613917,44
22,32366.79031499985,46
23,32700.915184808404,46
24,31343.134902721136,46
25,31633.277044929982,47
26,31491.709264049765,40
27,32776.662866771345,44
28,33652.98539781407,46
29,34059.98681224575,47
